time,timestamp,right_position,heading,real_right_velocity,right_jerk,right_velocity,left_jerk,left_velocity,right_accel,right_error,real_heading,left_accel,left_error,real_left_velocity,left_position
118.73,108440,3.964,0.000,7.439,-5.714,7.586,-5.714,7.586,7.714,116.000,-0.590,7.714,33.000,7.423,3.964
118.73,107839,0.725,0.000,1.607,11.429,2.800,11.429,2.800,7.714,478.000,-0.440,7.714,457.000,1.463,0.725
118.73,107873,0.885,0.000,2.011,5.714,3.200,5.714,3.200,8.000,478.000,-0.590,8.000,457.000,1.832,0.885
118.73,108356,3.585,0.000,6.696,0.000,7.200,0.000,7.200,8.000,58.000,-0.660,8.000,123.000,6.829,3.585
118.73,110031,18.015,0.000,6.371,-0.000,5.600,-0.000,5.600,-8.000,-291.000,-3.020,-8.000,-351.000,6.387,18.015
118.73,110516,19.725,0.000,1.694,11.429,1.729,11.429,1.729,-6.572,152.000,-3.760,-6.572,35.000,1.580,19.725
118.73,109076,10.000,0.000,10.604,-11.429,10.000,-11.429,10.000,0.286,-269.000,-2.070,0.286,-273.000,10.778,10.000
118.73,109351,12.479,0.000,10.482,-11.429,9.771,-11.429,9.771,-2.000,-278.000,-3.050,-2.000,-241.000,10.376,12.479
118.73,108854,8.010,0.000,9.994,-11.429,9.771,-11.429,9.771,2.571,-263.000,-0.420,2.571,-314.000,10.639,8.010
118.73,109577,14.796,0.000,9.908,-11.429,8.843,-11.429,8.843,-4.857,-333.000,-3.230,-4.857,-387.000,9.878,14.796
118.73,110817,19.979,0.000,0.011,11.429,0.357,11.429,0.357,-3.143,169.000,-3.950,-3.143,214.000,0.008,19.979
118.73,109082,10.000,0.000,10.658,-11.429,10.000,-11.429,10.000,0.286,-269.000,-2.160,0.286,-273.000,10.604,10.000
118.73,109873,17.115,0.000,8.040,-5.717,6.800,-5.717,6.800,-8.000,-423.000,-3.120,-8.000,-372.000,7.986,17.115
118.73,107487,0.100,0.000,0.014,11.429,0.700,11.429,0.700,3.714,131.000,-0.020,3.714,257.000,0.000,0.100
118.73,108341,3.225,0.000,6.485,0.000,6.800,0.000,6.800,8.000,58.000,-0.700,8.000,123.000,6.604,3.225
118.73,109517,14.354,0.000,10.184,-11.429,9.086,-11.429,9.086,-4.285,-333.000,-3.230,-4.285,-318.000,10.119,14.354
118.73,110071,18.275,0.000,5.881,0.000,5.200,0.000,5.200,-8.000,-291.000,-3.000,-8.000,-299.000,6.000,18.275
118.73,109779,16.415,0.000,8.797,-11.429,7.586,-11.429,7.586,-7.143,-378.000,-3.170,-7.143,-372.000,8.891,16.415
118.73,110618,19.854,0.000,0.986,11.429,1.157,11.429,1.157,-5.429,152.000,-3.920,-5.429,161.000,0.897,19.854
118.73,108615,5.646,0.000,9.187,-11.429,8.843,-11.429,8.843,5.429,-6.000,-0.320,5.429,-254.000,9.227,5.646
118.73,109360,12.961,0.000,10.482,-11.429,9.643,-11.429,9.643,-2.571,-278.000,-3.050,-2.571,-241.000,10.376,12.961
118.73,107813,0.725,0.000,1.388,11.429,2.800,11.429,2.800,7.714,478.000,-0.370,7.714,457.000,1.290,0.725
118.73,109167,10.999,0.000,10.490,-5.712,9.986,-5.712,9.986,-0.286,-269.000,-2.750,-0.286,-234.000,10.170,10.999
118.73,109201,10.999,0.000,10.507,-5.712,9.986,-5.712,9.986,-0.286,-207.000,-2.800,-0.286,-234.000,10.385,10.999
118.73,108952,8.504,0.000,10.490,-11.429,9.871,-11.429,9.871,2.000,-64.000,-0.840,2.000,-273.000,10.615,8.504
118.73,109838,16.775,0.000,8.330,-11.429,7.200,-11.429,7.200,-7.714,-423.000,-3.170,-7.714,-372.000,8.347,16.775
118.74,109912,17.435,0.000,7.634,-0.002,6.400,-0.002,6.400,-8.000,-423.000,-3.070,-8.000,-351.000,7.737,17.435
118.74,110013,18.015,0.000,6.582,-0.000,5.600,-0.000,5.600,-8.000,-291.000,-3.020,-8.000,-351.000,6.580,18.015
118.74,108502,4.361,0.000,7.818,-11.429,7.943,-11.429,7.943,7.143,116.000,-0.590,7.143,33.000,7.845,4.361
118.74,108740,6.565,0.000,9.848,-11.429,9.300,-11.429,9.300,4.286,-263.000,-0.310,4.286,-254.000,10.114,6.565
118.74,108589,5.204,0.000,9.030,-11.429,8.571,-11.429,8.571,6.000,-6.000,-0.370,6.000,33.000,9.016,5.204
118.74,110557,19.797,0.000,1.274,11.429,1.429,11.429,1.429,-6.000,152.000,-3.820,-6.000,161.000,1.287,19.797
118.74,109896,17.115,0.000,7.834,-5.717,6.800,-5.717,6.800,-8.000,-423.000,-3.100,-8.000,-372.000,7.864,17.115
118.74,110268,19.115,0.000,3.962,0.000,3.600,0.000,3.600,-8.000,-144.000,-3.400,-8.000,-83.000,3.799,19.115
118.74,108274,2.885,0.000,5.994,-0.000,6.400,-0.000,6.400,8.000,58.000,-0.750,8.000,123.000,6.022,2.885
118.74,110765,19.961,0.000,0.111,11.429,0.514,11.429,0.514,-3.715,107.000,-3.990,-3.715,214.000,0.079,19.961
118.74,107760,0.585,0.000,1.049,11.429,2.414,11.429,2.414,7.143,478.000,-0.120,7.143,436.000,0.883,0.585
118.74,109242,11.496,0.000,10.517,-11.426,9.943,-11.426,9.943,-0.857,-207.000,-2.880,-0.857,-234.000,10.417,11.496
118.74,109483,13.900,0.000,10.189,-11.429,9.300,-11.429,9.300,-3.714,-278.000,-3.190,-3.714,-318.000,10.130,13.900
118.74,108148,1.985,0.000,4.702,0.000,5.200,0.000,5.200,8.000,209.000,-1.080,8.000,290.000,4.596,1.985
118.74,108916,8.504,0.000,10.217,-11.429,9.871,-11.429,9.871,2.000,-64.000,-0.610,2.000,-314.000,11.005,8.504
