[794.26] timestamp,right_position,heading,real_right_velocity,right_jerk,right_velocity,left_jerk,left_velocity,right_accel,right_error,real_heading,left_accel,left_error,real_left_velocity,left_position
[794.26] 108440,3.964,0.000,7.439,-5.714,7.586,-5.714,7.586,7.714,116.000,-0.590,7.714,33.000,7.423,3.964
[794.26] 758193,19.979,0.000,0.000,11.429,0.357,11.429,0.357,-3.143,172.000,-2.780,-3.143,155.000,0.016,19.979
[794.26] 755255,0.885,0.000,1.995,5.714,3.200,5.714,3.200,8.000,504.000,-0.460,8.000,405.000,1.802,0.885
[794.26] 107839,0.725,0.000,1.607,11.429,2.800,11.429,2.800,7.714,478.000,-0.440,7.714,457.000,1.463,0.725
[794.26] 757585,18.935,0.000,4.447,-0.000,4.000,-0.000,4.000,-8.000,-115.000,-2.180,-8.000,-216.000,4.406,18.935
[794.26] 110516,19.725,0.000,1.694,11.429,1.729,11.429,1.729,-6.572,152.000,-3.760,-6.572,35.000,1.580,19.725
[794.26] 757959,19.797,0.000,1.117,11.429,1.429,11.429,1.429,-6.000,146.000,-2.740,-6.000,186.000,1.089,19.797
[794.26] 109351,12.479,0.000,10.482,-11.429,9.771,-11.429,9.771,-2.000,-278.000,-3.050,-2.000,-241.000,10.376,12.479
[794.26] 109082,10.000,0.000,10.658,-11.429,10.000,-11.429,10.000,0.286,-269.000,-2.160,0.286,-273.000,10.604,10.000
[794.26] 109873,17.115,0.000,8.040,-5.717,6.800,-5.717,6.800,-8.000,-423.000,-3.120,-8.000,-372.000,7.986,17.115
[794.26] 107487,0.100,0.000,0.014,11.429,0.700,11.429,0.700,3.714,131.000,-0.020,3.714,257.000,0.000,0.100
[794.27] 756447,10.000,0.000,10.612,-11.429,10.000,-11.429,10.000,0.286,-200.000,-1.320,0.286,-165.000,10.661,10.000
[794.27] 757198,16.775,0.000,8.371,-11.429,7.200,-11.429,7.200,-7.714,-296.000,-2.150,-7.714,-371.000,8.474,16.775
[794.27] 755350,1.265,0.000,3.013,0.000,4.000,0.000,4.000,8.000,354.000,-0.630,8.000,413.000,2.837,1.265
[794.27] 755824,3.964,0.000,7.550,-5.714,7.586,-5.714,7.586,7.714,136.000,-0.050,7.714,-7.000,7.555,3.964
[794.27] 756717,12.479,0.000,10.553,-11.429,9.771,-11.429,9.771,-2.000,-278.000,-2.490,-2.000,-250.000,10.439,12.479
[794.27] 110618,19.854,0.000,0.986,11.429,1.157,11.429,1.157,-5.429,152.000,-3.920,-5.429,161.000,0.897,19.854
[794.27] 756526,10.500,0.000,10.647,-5.714,10.000,-5.714,10.000,0.000,-200.000,-1.920,0.000,-126.000,10.181,10.500
[794.27] 108615,5.646,0.000,9.187,-11.429,8.843,-11.429,8.843,5.429,-6.000,-0.320,5.429,-254.000,9.227,5.646
[794.27] 109360,12.961,0.000,10.482,-11.429,9.643,-11.429,9.643,-2.571,-278.000,-3.050,-2.571,-241.000,10.376,12.961
[794.27] 109167,10.999,0.000,10.490,-5.712,9.986,-5.712,9.986,-0.286,-269.000,-2.750,-0.286,-234.000,10.170,10.999
[794.27] 109201,10.999,0.000,10.507,-5.712,9.986,-5.712,9.986,-0.286,-207.000,-2.800,-0.286,-234.000,10.385,10.999
[794.27] 755495,1.985,0.000,4.341,0.000,5.200,0.000,5.200,8.000,193.000,-0.540,8.000,413.000,4.317,1.985
[794.27] 758307,19.997,0.000,-0.043,11.429,0.129,11.429,0.129,-2.000,172.000,-2.730,-2.000,80.000,0.014,19.997
[794.27] 109838,16.775,0.000,8.330,-11.429,7.200,-11.429,7.200,-7.714,-423.000,-3.170,-7.714,-372.000,8.347,16.775
[794.27] 757916,19.725,0.000,1.423,11.429,1.729,11.429,1.729,-6.572,146.000,-2.710,-6.572,121.000,1.363,19.725
[794.28] 756221,7.521,0.000,10.157,-11.429,9.643,-11.429,9.643,3.143,-326.000,0.100,3.143,-414.000,10.775,7.521
[794.28] 754733,0.039,0.000,0.000,11.429,0.357,11.429,0.357,2.571,21.000,0.000,2.571,84.000,0.000,0.039
[794.28] 109912,17.435,0.000,7.634,-0.002,6.400,-0.002,6.400,-8.000,-423.000,-3.070,-8.000,-351.000,7.737,17.435
[794.28] 756175,7.039,0.000,10.225,-11.429,9.486,-11.429,9.486,3.714,-326.000,0.150,3.714,-414.000,10.563,7.039
[794.28] 108589,5.204,0.000,9.030,-11.429,8.571,-11.429,8.571,6.000,-6.000,-0.370,6.000,33.000,9.016,5.204
[794.28] 755674,2.885,0.000,6.171,-0.000,6.400,-0.000,6.400,8.000,40.000,-0.230,8.000,80.000,6.152,2.885
[794.28] 757276,17.115,0.000,7.713,-5.717,6.800,-5.717,6.800,-8.000,-296.000,-1.950,-8.000,-371.000,7.937,17.115
[794.28] 757908,19.725,0.000,1.558,11.429,1.729,11.429,1.729,-6.572,146.000,-2.710,-6.572,121.000,1.493,19.725
[794.28] 756100,6.565,0.000,10.032,-11.429,9.300,-11.429,9.300,4.286,-326.000,0.270,4.286,-185.000,10.303,6.565
[794.28] 109896,17.115,0.000,7.834,-5.717,6.800,-5.717,6.800,-8.000,-423.000,-3.100,-8.000,-372.000,7.864,17.115
[794.28] 110268,19.115,0.000,3.962,0.000,3.600,0.000,3.600,-8.000,-144.000,-3.400,-8.000,-83.000,3.799,19.115
[794.28] 757763,19.415,0.000,2.724,0.000,2.800,0.000,2.800,-8.000,-6.000,-2.660,-8.000,-13.000,2.634,19.415
[794.28] 108274,2.885,0.000,5.994,-0.000,6.400,-0.000,6.400,8.000,58.000,-0.750,8.000,123.000,6.022,2.885
[794.28] 110765,19.961,0.000,0.111,11.429,0.514,11.429,0.514,-3.715,107.000,-3.990,-3.715,214.000,0.079,19.961
[794.29] 107760,0.585,0.000,1.049,11.429,2.414,11.429,2.414,7.143,478.000,-0.120,7.143,436.000,0.883,0.585
[794.29] 109242,11.496,0.000,10.517,-11.426,9.943,-11.426,9.943,-0.857,-207.000,-2.880,-0.857,-234.000,10.417,11.496
[794.29] 755057,0.361,0.000,0.369,11.429,1.729,11.429,1.729,6.000,381.000,-0.010,6.000,436.000,0.336,0.361
[794.29] 754621,0.004,0.000,0.000,-0.000,0.057,-0.000,0.057,0.571,21.000,0.000,0.571,31.000,0.000,0.004
[794.29] 755873,4.361,0.000,7.905,-11.429,7.943,-11.429,7.943,7.143,136.000,0.030,7.143,-7.000,8.008,4.361
[794.29] 756122,6.565,0.000,10.111,-11.429,9.300,-11.429,9.300,4.286,-326.000,0.220,4.286,-185.000,10.284,6.565
[794.29] 109449,13.435,0.000,10.328,-11.429,9.486,-11.429,9.486,-3.143,-278.000,-3.130,-3.143,-318.000,10.230,13.435
[794.29] 107237,0.004,0.000,0.000,-0.000,0.057,-0.000,0.057,0.571,-84.000,0.000,0.571,15.000,0.000,0.004
[794.29] 109107,10.500,0.000,10.685,-5.714,10.000,-5.714,10.000,0.000,-269.000,-2.290,0.000,-234.000,10.620,10.500
[794.29] 754855,0.100,0.000,0.000,11.429,0.700,11.429,0.700,3.714,131.000,0.000,3.714,257.000,0.000,0.100
[794.29] 757926,19.725,0.000,1.423,11.429,1.729,11.429,1.729,-6.572,146.000,-2.710,-6.572,121.000,1.363,19.725
[794.29] 757505,18.515,0.000,5.336,-0.000,4.800,-0.000,4.800,-8.000,-336.000,-2.040,-8.000,-216.000,5.320,18.515
[794.29] 755704,3.225,0.000,6.493,0.000,6.800,0.000,6.800,8.000,40.000,-0.180,8.000,80.000,6.504,3.225
[794.29] 758461,20.000,0.000,-0.092,11.429,0.000,11.429,0.000,-0.286,68.000,-2.480,-0.286,5.000,0.000,20.000
[794.29] 107334,0.021,0.000,0.003,11.429,0.229,11.429,0.229,2.000,21.000,-0.010,2.000,47.000,0.000,0.021
[794.29] 107881,0.885,0.000,2.011,5.714,3.200,5.714,3.200,8.000,478.000,-0.670,8.000,457.000,1.832,0.885
[794.29] 107969,1.265,0.000,3.049,0.000,4.000,0.000,4.000,8.000,353.000,-1.010,8.000,327.000,2.921,1.265
[794.3] 110003,17.735,0.000,6.582,0.000,6.000,0.000,6.000,-8.000,-291.000,-3.010,-8.000,-351.000,6.813,17.735
[794.3] 756512,10.500,0.000,10.707,-5.714,10.000,-5.714,10.000,0.000,-200.000,-1.820,0.000,-126.000,10.347,10.500
[794.3] 108777,7.039,0.000,10.024,-11.429,9.486,-11.429,9.486,3.714,-263.000,-0.350,3.714,-314.000,10.290,7.039
[794.3] 757933,19.797,0.000,1.263,11.429,1.429,11.429,1.429,-6.000,146.000,-2.710,-6.000,186.000,1.219,19.797
[794.3] 110059,18.275,0.000,5.881,0.000,5.200,0.000,5.200,-8.000,-291.000,-3.000,-8.000,-299.000,6.211,18.275
[794.3] 107681,0.361,0.000,0.379,11.429,1.729,11.429,1.729,6.000,300.000,0.000,6.000,436.000,0.382,0.361
[794.3] 108597,5.204,0.000,9.030,-11.429,8.571,-11.429,8.571,6.000,-6.000,-0.350,6.000,33.000,9.227,5.204
[794.3] 755461,1.725,0.000,4.206,-0.000,4.800,-0.000,4.800,8.000,193.000,-0.580,8.000,413.000,4.133,1.725
[794.3] 756573,10.999,0.000,10.604,-5.712,9.986,-5.712,9.986,-0.286,-240.000,-2.120,-0.286,-126.000,10.374,10.999
[794.3] 756992,15.225,0.000,9.767,-11.429,8.572,-11.429,8.572,-5.428,-342.000,-2.610,-5.428,-393.000,9.894,15.225
[794.3] 110717,19.935,0.000,0.396,11.429,0.700,11.429,0.700,-4.286,107.000,-3.960,-4.286,214.000,0.331,19.935
[794.3] 756773,12.961,0.000,10.460,-11.429,9.643,-11.429,9.643,-2.571,-278.000,-2.650,-2.571,-250.000,10.387,12.961
[794.31] 755341,1.265,0.000,3.013,0.000,4.000,0.000,4.000,8.000,354.000,-0.630,8.000,405.000,2.621,1.265
[794.31] 755374,1.265,0.000,3.214,0.000,4.000,0.000,4.000,8.000,354.000,-0.640,8.000,413.000,3.068,1.265
[794.31] 757239,17.115,0.000,8.030,-5.717,6.800,-5.717,6.800,-8.000,-296.000,-1.980,-8.000,-371.000,8.141,17.115
[794.31] 108527,4.775,0.000,8.233,-11.429,8.271,-11.429,8.271,6.571,116.000,-0.530,6.571,33.000,8.249,4.775
[794.31] 755231,0.885,0.000,1.805,5.714,3.200,5.714,3.200,8.000,504.000,-0.340,8.000,405.000,1.626,0.885
[794.31] 109701,15.639,0.000,9.257,-11.429,8.272,-11.429,8.272,-6.000,-378.000,-3.220,-6.000,-387.000,9.322,15.639
[794.31] 754536,0.001,0.000,0.000,11.429,0.029,11.429,0.029,0.571,44.000,0.000,0.571,31.000,0.000,0.001
[794.31] 109387,12.961,0.000,10.460,-11.429,9.643,-11.429,9.643,-2.571,-278.000,-3.060,-2.571,-241.000,10.376,12.961
[794.31] 754988,0.275,0.000,0.220,11.429,1.429,11.429,1.429,5.429,381.000,-0.040,5.429,257.000,0.084,0.275
[794.31] 756927,14.354,0.000,10.097,-11.429,9.086,-11.429,9.086,-4.285,-342.000,-2.690,-4.285,-338.000,10.157,14.354
[794.31] 758156,19.961,0.000,0.046,11.429,0.514,11.429,0.514,-3.715,172.000,-2.780,-3.715,155.000,0.051,19.961
[794.31] 107497,0.100,0.000,0.014,11.429,0.700,11.429,0.700,3.714,131.000,-0.020,3.714,257.000,0.000,0.100
[794.31] 755663,2.885,0.000,6.171,-0.000,6.400,-0.000,6.400,8.000,40.000,-0.260,8.000,80.000,6.152,2.885
[794.32] 757227,16.775,0.000,8.030,-11.429,7.200,-11.429,7.200,-7.714,-296.000,-2.080,-7.714,-371.000,8.141,16.775
[794.32] 757257,17.115,0.000,7.794,-5.717,6.800,-5.717,6.800,-8.000,-296.000,-1.980,-8.000,-371.000,7.937,17.115
[794.32] 109801,16.415,0.000,8.588,-11.429,7.586,-11.429,7.586,-7.143,-378.000,-3.180,-7.143,-372.000,8.715,16.415
[794.32] 756881,14.354,0.000,10.208,-11.429,9.086,-11.429,9.086,-4.285,-342.000,-2.800,-4.285,-338.000,10.241,14.354
[794.32] 107615,0.275,0.000,0.160,11.429,1.429,11.429,1.429,5.429,300.000,0.030,5.429,257.000,0.182,0.275
[794.32] 110490,19.639,0.000,1.845,11.426,2.057,11.426,2.057,-7.143,152.000,-3.720,-7.143,35.000,1.745,19.639
[794.32] 109820,16.775,0.000,8.330,-11.429,7.200,-11.429,7.200,-7.714,-423.000,-3.170,-7.714,-372.000,8.347,16.775
[794.32] 756797,13.435,0.000,10.447,-11.429,9.486,-11.429,9.486,-3.143,-278.000,-2.690,-3.143,-250.000,10.357,13.435
[794.32] 757384,18.015,0.000,6.593,-0.000,5.600,-0.000,5.600,-8.000,-336.000,-1.740,-8.000,-461.000,6.710,18.015
[794.32] 109943,17.435,0.000,7.287,-0.002,6.400,-0.002,6.400,-8.000,-423.000,-3.070,-8.000,-351.000,7.222,17.435
[794.32] 757553,18.735,0.000,4.816,0.000,4.400,0.000,4.400,-8.000,-115.000,-2.100,-8.000,-216.000,4.862,18.735
[794.32] 755712,3.225,0.000,6.493,0.000,6.800,0.000,6.800,8.000,40.000,-0.180,8.000,80.000,6.504,3.225
[794.33] 110982,19.999,0.000,-0.062,11.429,0.057,11.429,0.057,-1.429,68.000,-3.920,-1.429,84.000,0.005,19.999
[794.33] 757355,17.735,0.000,6.897,0.000,6.000,0.000,6.000,-8.000,-336.000,-1.750,-8.000,-461.000,6.951,17.735
[794.33] 110609,19.854,0.000,0.986,11.429,1.157,11.429,1.157,-5.429,152.000,-3.910,-5.429,161.000,0.897,19.854
[794.33] 110707,19.935,0.000,0.396,11.429,0.700,11.429,0.700,-4.286,107.000,-3.960,-4.286,214.000,0.331,19.935
[794.33] 756710,12.479,0.000,10.569,-11.429,9.771,-11.429,9.771,-2.000,-240.000,-2.490,-2.000,-250.000,10.485,12.479
[794.33] 107361,0.039,0.000,0.000,11.429,0.357,11.429,0.357,2.571,21.000,0.000,2.571,47.000,0.000,0.039
[794.33] 756357,9.001,0.000,10.390,-11.429,9.943,-11.429,9.943,1.429,-138.000,-0.690,1.429,-165.000,10.241,9.001
[794.33] 110258,19.115,0.000,3.962,0.000,3.600,0.000,3.600,-8.000,-144.000,-3.320,-8.000,-83.000,3.984,19.115
[794.33] 108562,5.204,0.000,8.536,-11.429,8.571,-11.429,8.571,6.000,-6.000,-0.400,6.000,33.000,8.726,5.204
[794.33] 109992,17.735,0.000,6.775,0.000,6.000,0.000,6.000,-8.000,-291.000,-3.010,-8.000,-351.000,6.813,17.735
[794.33] 754542,0.001,0.000,0.000,11.429,0.029,11.429,0.029,0.571,44.000,0.010,0.571,31.000,0.000,0.001
[794.33] 757406,18.015,0.000,6.374,-0.000,5.600,-0.000,5.600,-8.000,-336.000,-1.770,-8.000,-461.000,6.455,18.015
[794.33] 110505,19.725,0.000,1.694,11.429,1.729,11.429,1.729,-6.572,152.000,-3.730,-6.572,35.000,1.580,19.725
[794.34] 111030,20.000,0.000,-0.073,11.429,0.014,11.429,0.014,-0.857,68.000,-3.910,-0.857,5.000,0.000,20.000
[794.34] 108311,3.225,0.000,6.306,0.000,6.800,0.000,6.800,8.000,58.000,-0.730,8.000,123.000,6.420,3.225
[794.34] 110848,19.979,0.000,-0.030,11.429,0.357,11.429,0.357,-3.143,169.000,-3.920,-3.143,214.000,0.000,19.979
[794.34] 757875,19.639,0.000,1.694,11.426,2.057,11.426,2.057,-7.143,146.000,-2.700,-7.143,121.000,1.653,19.639
[794.34] 107467,0.100,0.000,0.003,11.429,0.700,11.429,0.700,3.714,131.000,-0.010,3.714,257.000,0.000,0.100
[794.34] 757046,15.639,0.000,9.650,-11.429,8.272,-11.429,8.272,-6.000,-405.000,-2.530,-6.000,-393.000,9.631,15.639
[794.34] 755447,1.725,0.000,4.030,-0.000,4.800,-0.000,4.800,8.000,193.000,-0.620,8.000,413.000,3.954,1.725
[794.34] 110976,19.999,0.000,-0.065,11.429,0.057,11.429,0.057,-1.429,68.000,-3.940,-1.429,84.000,0.005,19.999
[794.34] 110992,19.999,0.000,-0.062,11.429,0.057,11.429,0.057,-1.429,68.000,-3.920,-1.429,84.000,0.005,19.999
[794.34] 109953,17.435,0.000,7.287,-0.002,6.400,-0.002,6.400,-8.000,-423.000,-3.060,-8.000,-351.000,7.222,17.435
[794.34] 110779,19.961,0.000,0.054,11.429,0.514,11.429,0.514,-3.715,107.000,-4.000,-3.715,214.000,0.079,19.961
[794.34] 108801,7.039,0.000,9.918,-11.429,9.486,-11.429,9.486,3.714,-263.000,-0.320,3.714,-314.000,10.393,7.039
[794.35] 108698,6.100,0.000,9.799,-11.429,9.086,-11.429,9.086,4.857,-6.000,-0.290,4.857,-254.000,9.935,6.100
[794.35] 755647,2.885,0.000,6.013,-0.000,6.400,-0.000,6.400,8.000,40.000,-0.280,8.000,228.000,5.984,2.885
[794.35] 757456,18.275,0.000,5.840,0.000,5.200,0.000,5.200,-8.000,-336.000,-1.870,-8.000,-216.000,5.783,18.275
[794.35] 755787,3.964,0.000,7.274,-5.714,7.586,-5.714,7.586,7.714,136.000,-0.090,7.714,80.000,7.279,3.964
[794.35] 110437,19.536,0.000,2.387,5.712,2.414,5.712,2.414,-7.714,-19.000,-3.720,-7.714,35.000,2.309,19.536
[794.35] 755903,4.775,0.000,8.249,-11.429,8.271,-11.429,8.271,6.571,136.000,0.130,6.571,-7.000,8.165,4.775
[794.35] 108520,4.775,0.000,7.962,-11.429,8.271,-11.429,8.271,6.571,116.000,-0.570,6.571,33.000,8.249,4.775
[794.35] 110191,18.735,0.000,4.721,0.000,4.400,0.000,4.400,-8.000,-144.000,-3.050,-8.000,-299.000,4.631,18.735
[794.35] 107383,0.039,0.000,0.000,11.429,0.357,11.429,0.357,2.571,21.000,0.000,2.571,47.000,0.000,0.039
[794.35] 111131,20.000,0.000,-0.100,5.717,0.000,5.717,0.000,-0.000,35.000,-3.870,-0.000,5.000,-0.035,20.000
[794.35] 757465,18.275,0.000,5.840,0.000,5.200,0.000,5.200,-8.000,-336.000,-1.870,-8.000,-216.000,5.783,18.275
[794.35] 758169,19.961,0.000,0.046,11.429,0.514,11.429,0.514,-3.715,172.000,-2.780,-3.715,155.000,0.051,19.961
[794.35] 109728,16.036,0.000,9.119,-11.429,7.943,-11.429,7.943,-6.571,-378.000,-3.190,-6.571,-387.000,9.084,16.036
[794.35] 754876,0.100,0.000,0.011,11.429,0.700,11.429,0.700,3.714,131.000,0.000,3.714,257.000,0.000,0.100
[794.35] 107444,0.065,0.000,0.000,11.429,0.514,11.429,0.514,3.143,131.000,-0.010,3.143,47.000,0.000,0.065
[794.36] 757119,16.036,0.000,8.970,-11.429,7.943,-11.429,7.943,-6.571,-405.000,-2.390,-6.571,-393.000,9.049,16.036
[794.36] 108657,6.100,0.000,9.534,-11.429,9.086,-11.429,9.086,4.857,-6.000,-0.260,4.857,-254.000,9.658,6.100
[794.36] 109544,14.354,0.000,10.073,-11.429,9.086,-11.429,9.086,-4.285,-333.000,-3.250,-4.285,-318.000,10.038,14.354
[794.36] 754814,0.065,0.000,0.000,11.429,0.514,11.429,0.514,3.143,131.000,0.000,3.143,84.000,0.000,0.065
[794.36] 109695,15.639,0.000,9.401,-11.429,8.272,-11.429,8.272,-6.000,-378.000,-3.220,-6.000,-387.000,9.322,15.639
[794.36] 756587,11.496,0.000,10.618,-11.426,9.943,-11.426,9.943,-0.857,-240.000,-2.170,-0.857,-126.000,10.423,11.496
[794.36] 110043,18.015,0.000,6.078,-0.000,5.600,-0.000,5.600,-8.000,-291.000,-3.000,-8.000,-351.000,6.387,18.015
[794.36] 110943,19.997,0.000,-0.057,11.429,0.129,11.429,0.129,-2.000,68.000,-3.940,-2.000,84.000,0.005,19.997
[794.36] 756664,11.990,0.000,10.658,-11.429,9.871,-11.429,9.871,-1.428,-240.000,-2.320,-1.428,-250.000,10.542,11.990
[794.36] 757852,19.639,0.000,2.014,11.426,2.057,11.426,2.057,-7.143,146.000,-2.700,-7.143,121.000,1.995,19.639
[794.36] 107558,0.204,0.000,0.098,11.429,1.157,11.429,1.157,4.857,300.000,-0.020,4.857,257.000,0.087,0.204
[794.36] 756206,7.521,0.000,10.165,-11.429,9.643,-11.429,9.643,3.143,-326.000,0.100,3.143,-414.000,10.775,7.521
[794.36] 108717,6.565,0.000,9.799,-11.429,9.300,-11.429,9.300,4.286,-263.000,-0.290,4.286,-254.000,10.141,6.565
[794.36] 107930,1.065,0.000,2.631,0.000,3.600,0.000,3.600,8.000,353.000,-0.930,8.000,457.000,2.439,1.065
[794.36] 756158,7.039,0.000,10.417,-11.429,9.486,-11.429,9.486,3.714,-326.000,0.130,3.714,-185.000,10.474,7.039
[794.36] 758038,19.900,0.000,0.618,11.429,0.914,11.429,0.914,-4.857,108.000,-2.820,-4.857,186.000,0.596,19.900
[794.36] 109122,10.500,0.000,10.694,-5.714,10.000,-5.714,10.000,0.000,-269.000,-2.420,0.000,-234.000,10.455,10.500
[794.36] 107736,0.464,0.000,0.743,11.429,2.057,11.429,2.057,6.571,478.000,-0.070,6.571,436.000,0.745,0.464
[794.36] 110399,19.415,0.000,2.569,0.000,2.800,0.000,2.800,-8.000,-19.000,-3.710,-8.000,35.000,2.699,19.415
[794.36] 109001,9.001,0.000,10.685,-11.429,9.943,-11.429,9.943,1.429,-64.000,-1.440,1.429,-273.000,10.336,9.001
[794.37] 755968,5.204,0.000,8.694,-11.429,8.571,-11.429,8.571,6.000,-9.000,0.240,6.000,-7.000,8.921,5.204
[794.37] 110459,19.639,0.000,2.179,11.426,2.057,11.426,2.057,-7.143,-19.000,-3.720,-7.143,35.000,2.108,19.639
[794.37] 757570,18.735,0.000,4.585,0.000,4.400,0.000,4.400,-8.000,-115.000,-2.170,-8.000,-216.000,4.618,18.735
[794.37] 757437,18.275,0.000,6.062,0.000,5.200,0.000,5.200,-8.000,-336.000,-1.810,-8.000,-461.000,6.024,18.275
[794.37] 107783,0.585,0.000,1.211,11.429,2.414,11.429,2.414,7.143,478.000,-0.180,7.143,436.000,1.005,0.585
