timestampThrottle,Steer,QuickTurn,Incrementer,Mag1,Mag2
86263.963,-0.00,0.00,false,1,true,true
86481.15699999999,-0.00,0.00,false,2,true,true
86500.243,-0.00,0.00,false,3,true,true
86521.349,-0.00,0.00,false,4,true,true
86541.31099999999,-0.00,0.00,false,5,true,true
86561.442,-0.00,0.00,false,6,true,true
86581.06,-0.00,0.00,false,7,true,true
86600.95300000001,-0.00,0.00,false,8,true,true
86621.899,-0.00,0.00,false,9,true,true
86641.293,-0.00,0.00,false,10,true,true
86660.926,-0.00,0.00,false,11,true,true
86681.608,-0.00,0.00,false,12,true,true
86701.974,-0.00,0.00,false,13,true,true
86721.189,-0.00,0.00,false,14,true,true
86740.59,-0.00,0.00,false,15,true,true
86761.08600000001,-0.00,0.00,false,16,true,true
86781.674,-0.00,0.00,false,17,true,true
86800.913,-0.00,0.00,false,18,true,true
86821.189,-0.00,0.00,false,19,true,true
86841.266,-0.00,0.00,false,20,true,true
86861.222,-0.00,0.00,false,21,true,true
86881.25200000001,-0.00,0.00,false,22,true,true
86901.3,-0.00,0.00,false,23,true,true
86920.924,-0.00,0.00,false,24,true,true
86941.736,-0.00,0.00,false,25,true,true
86960.883,-0.00,0.00,false,26,true,true
86981.306,-0.00,0.00,false,27,true,true
87000.805,-0.00,0.00,false,28,true,true
87021.397,-0.00,0.00,false,29,true,true
87040.56300000001,-0.00,0.00,false,30,true,true
87061.279,-0.00,0.00,false,31,true,true
87081.188,-0.00,0.00,false,32,true,true
87101.026,-0.00,0.00,false,33,true,true
87120.686,-0.00,0.00,false,34,true,true
87141.667,-0.00,0.00,false,35,true,true
87161.631,-0.00,0.00,false,36,true,true
87201.44600000001,-0.00,0.00,false,37,true,true
87220.67199999999,-0.00,0.00,false,38,true,true
87241.523,-0.00,0.00,false,39,true,true
87261.237,-0.00,0.00,false,40,true,true
87280.354,-0.00,0.00,false,41,true,true
87301.073,-0.00,0.00,false,42,true,true
87321.207,-0.00,0.00,false,43,true,true
87341.197,-0.00,0.00,false,44,true,true
87361.167,-0.00,0.00,false,45,true,true
87381.25700000001,-0.00,0.00,false,46,true,true
87400.458,-0.00,0.00,false,47,true,true
87420.639,-0.00,0.00,false,48,true,true
87440.932,-0.00,0.00,false,49,true,true
87461.237,-0.00,0.00,false,50,true,true
87480.96800000001,-0.00,0.00,false,51,true,true
87501.402,-0.00,0.00,false,52,true,true
87521.21699999999,-0.00,0.00,false,53,true,true
87540.53199999999,-0.00,0.00,false,54,true,true
87561.34199999999,-0.00,0.00,false,55,true,true
87581.363,-0.00,0.00,false,56,true,true
87600.917,-0.00,0.00,false,57,true,true
87621.437,-0.00,0.00,false,58,true,true
87641.45999999999,-0.00,0.00,false,59,true,true
87661.34300000001,-0.00,0.00,false,60,true,true
87680.52900000001,-0.00,0.00,false,61,true,true
87701.484,-0.00,0.00,false,62,true,true
87721.602,-0.00,0.00,false,63,true,true
87741.714,-0.00,0.00,false,64,true,true
87761.17700000001,-0.00,0.00,false,65,true,true
87781.12400000001,-0.00,0.00,false,66,true,true
87801.246,-0.00,0.00,false,67,true,true
87821.362,-0.00,0.00,false,68,true,true
87840.517,-0.00,0.00,false,69,true,true
87861.27399999999,-0.00,0.00,false,70,true,true
87880.371,-0.00,0.00,false,71,true,true
87900.72600000001,-0.00,0.00,false,72,true,true
87921.479,-0.00,0.00,false,73,true,true
87940.762,-0.00,0.00,false,74,true,true
87961.505,-0.00,0.00,false,75,true,true
87980.851,-0.00,0.00,false,76,true,true
88001.562,-0.00,0.00,false,77,true,true
88021.433,-0.00,0.00,false,78,true,true
88040.742,-0.00,0.00,false,79,true,true
88061.493,-0.00,0.00,false,80,true,true
88080.573,-0.00,0.00,false,81,true,true
88101.342,-0.00,0.00,false,82,true,true
88121.444,-0.00,0.00,false,83,true,true
88140.561,-0.00,0.00,false,84,true,true
88161.571,-0.00,0.00,false,85,true,true
88181.6,-0.00,0.00,false,86,true,true
88201.14499999999,-0.00,0.00,false,87,true,true
88220.83600000001,-0.00,0.00,false,88,true,true
88241.338,-0.00,0.00,false,89,true,true
88260.603,-0.00,0.00,false,90,true,true
88280.847,-0.00,0.00,false,91,true,true
88301.73700000001,-0.00,0.00,false,92,true,true
88321.235,-0.00,0.00,false,93,true,true
88341.172,-0.00,0.00,false,94,true,true
88360.64899999999,-0.00,0.00,false,95,true,true
88381.22300000001,-0.00,0.00,false,96,true,true
88400.46100000001,-0.00,0.00,false,97,true,true
88421.30799999999,-0.00,0.00,false,98,true,true
88441.452,-0.00,0.00,false,99,true,true
88461.285,-0.00,0.00,false,100,true,true
88481.177,-0.00,0.00,false,101,true,true
88501.06700000001,-0.00,0.00,false,102,true,true
88520.353,-0.00,0.00,false,103,true,true
88541.027,-0.00,0.00,false,104,true,true
