dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000957,0.979000,0.001007,0.040271,0.805417,16.108345,0.000000
0.050000,0.004984,0.979000,0.005034,0.080542,0.805417,-0.000000,0.000000
0.050000,0.014045,0.979000,0.014095,0.181219,2.013543,24.162518,0.000000
0.050000,0.029146,0.979000,0.029196,0.302031,2.416252,8.054173,0.000000
0.050000,0.050289,0.979000,0.050339,0.422844,2.416252,0.000000,0.000000
0.050000,0.077471,0.979000,0.077521,0.543657,2.416252,-0.000000,0.000000
0.050000,0.110695,0.979000,0.110745,0.664469,2.416252,-0.000000,0.000000
0.050000,0.149959,0.979000,0.150009,0.785282,2.416252,0.000000,0.000000
0.050000,0.195264,0.979000,0.195314,0.906094,2.416252,-0.000000,0.000000
0.050000,0.246609,0.979000,0.246659,1.026907,2.416252,0.000000,0.000000
0.050000,0.303995,0.979000,0.304045,1.147720,2.416252,0.000000,0.000000
0.050000,0.367422,0.979000,0.367472,1.268532,2.416252,0.000000,0.000000
0.050000,0.436889,0.979000,0.436939,1.389345,2.416252,-0.000000,0.000000
0.050000,0.512397,0.979000,0.512447,1.510157,2.416252,-0.000000,0.000000
0.050000,0.593945,0.979000,0.593995,1.630970,2.416252,0.000000,0.000000
0.050000,0.681534,0.979000,0.681584,1.751783,2.416252,-0.000000,0.000000
0.050000,0.775164,0.979000,0.775214,1.872595,2.416252,0.000000,0.000000
0.050000,0.874835,0.979000,0.874885,1.993408,2.416252,0.000000,0.000000
0.050000,0.980546,0.979000,0.980596,2.114220,2.416252,0.000000,0.000000
0.050000,1.092297,0.979000,1.092347,2.235033,2.416252,-0.000000,0.000000
0.050000,1.210089,0.979000,1.210139,2.355846,2.416252,0.000000,0.000000
0.050000,1.333922,0.979000,1.333972,2.476658,2.416252,-0.000000,0.000000
0.050000,1.463796,0.979000,1.463846,2.597471,2.416252,-0.000000,0.000000
0.050000,1.599710,0.979000,1.599760,2.718283,2.416252,0.000000,0.000000
0.050000,1.741665,0.979000,1.741715,2.839096,2.416252,-0.000000,0.000000
0.050000,1.889660,0.979000,1.889710,2.959908,2.416252,0.000000,0.000000
0.050000,2.043696,0.979000,2.043746,3.080721,2.416252,-0.000000,0.000000
0.050000,2.203773,0.979000,2.203823,3.201534,2.416252,-0.000000,0.000000
0.050000,2.368884,0.979000,2.368934,3.302211,2.013543,-8.054173,0.000000
0.050000,2.536573,0.979000,2.536623,3.353798,1.031748,-19.635909,0.000000
0.050000,2.703381,0.979000,2.703431,3.336160,-0.352756,-27.690081,0.000000
0.050000,2.866287,0.979000,2.866337,3.258116,-1.560882,-24.162518,0.000000
0.050000,3.023718,0.979000,3.023768,3.148620,-2.189921,-12.580782,0.000000
0.050000,3.175109,0.979000,3.175159,3.027808,-2.416252,-4.526610,0.000000
0.050000,3.320458,0.979000,3.320508,2.906995,-2.416252,-0.000000,0.000000
0.050000,3.459768,0.979000,3.459818,2.786182,-2.416252,-0.000000,0.000000
0.050000,3.593036,0.979000,3.593086,2.665370,-2.416252,0.000000,0.000000
0.050000,3.720264,0.979000,3.720314,2.544557,-2.416252,0.000000,0.000000
0.050000,3.841451,0.979000,3.841501,2.423745,-2.416252,-0.000000,0.000000
0.050000,3.956598,0.979000,3.956648,2.302932,-2.416252,-0.000000,0.000000
0.050000,4.065704,0.979000,4.065754,2.182119,-2.416252,0.000000,0.000000
0.050000,4.168769,0.979000,4.168819,2.061307,-2.416252,-0.000000,0.000000
0.050000,4.265794,0.979000,4.265844,1.940494,-2.416252,0.000000,0.000000
0.050000,4.356778,0.979000,4.356828,1.819682,-2.416252,-0.000000,0.000000
0.050000,4.441721,0.979000,4.441771,1.698869,-2.416252,0.000000,0.000000
0.050000,4.520624,0.979000,4.520674,1.578057,-2.416252,0.000000,0.000000
0.050000,4.593486,0.979000,4.593536,1.457244,-2.416252,0.000000,0.000000
0.050000,4.660308,0.979000,4.660358,1.336431,-2.416252,-0.000000,0.000000
0.050000,4.721089,0.979000,4.721139,1.215619,-2.416252,0.000000,0.000000
0.050000,4.775829,0.979000,4.775879,1.094806,-2.416252,0.000000,0.000000
0.050000,4.824529,0.979000,4.824579,0.973994,-2.416252,-0.000000,0.000000
0.050000,4.867188,0.979000,4.867238,0.853181,-2.416252,0.000000,0.000000
0.050000,4.903806,0.979000,4.903856,0.732368,-2.416252,0.000000,0.000000
0.050000,4.934384,0.979000,4.934434,0.611556,-2.416252,-0.000000,0.000000
0.050000,4.958921,0.979000,4.958971,0.490743,-2.416252,0.000000,0.000000
0.050000,4.977418,0.979000,4.977468,0.369931,-2.416252,-0.000000,0.000000
0.050000,4.989874,0.979000,4.989924,0.249118,-2.416252,0.000000,0.000000
0.050000,4.996730,0.979000,4.996780,0.137124,-2.239874,3.527563,0.000000
0.050000,4.999434,0.979000,4.999484,0.054085,-1.660787,11.581736,0.000000
0.050000,5.000000,0.979000,5.000050,0.011317,-0.855370,16.108345,0.000000
0.050000,5.000000,0.979000,5.000050,0.000000,-0.226330,12.580782,0.000000
