dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000740,13.479000,0.001042,0.041667,0.833333,16.666667,0.000187
0.050000,0.004082,13.479002,0.004384,0.066838,0.503432,-6.598036,0.001029
0.050000,0.011600,13.479017,0.011901,0.150352,1.670284,23.337043,0.002926
0.050000,0.024124,13.479073,0.024425,0.250485,2.002651,6.647347,0.006093
0.050000,0.041647,13.479219,0.041949,0.350468,1.999652,-0.059989,0.010538
0.050000,0.064157,13.479521,0.064461,0.450248,1.995601,-0.081010,0.016271
0.050000,0.091641,13.480065,0.091950,0.549780,1.990656,-0.098903,0.023305
0.050000,0.124080,13.480956,0.124402,0.649032,1.985028,-0.112562,0.031654
0.050000,0.161454,13.482321,0.161801,0.747981,1.978992,-0.120714,0.041333
0.050000,0.203739,13.484303,0.204132,0.846626,1.972895,-0.121938,0.052358
0.050000,0.250907,13.487067,0.251381,0.944984,1.967165,-0.114603,0.064743
0.050000,0.302929,13.490799,0.303536,1.043100,1.962319,-0.096930,0.078502
0.050000,0.359770,13.495703,0.360589,1.141049,1.958969,-0.066993,0.093642
0.050000,0.421396,13.502005,0.422536,1.238940,1.957829,-0.022807,0.110166
0.050000,0.487768,13.509948,0.489382,1.336926,1.959707,0.037562,0.128070
0.050000,0.558849,13.519798,0.561142,1.435200,1.965498,0.115832,0.147338
0.050000,0.634598,13.531839,0.637843,1.534009,1.976163,0.213285,0.167944
0.050000,0.714977,13.546375,0.719525,1.633643,1.992687,0.330487,0.189845
0.050000,0.799946,13.563725,0.806247,1.734445,2.016037,0.467010,0.212982
0.050000,0.889468,13.584228,0.898087,1.836799,2.047093,0.621106,0.237275
0.050000,0.983507,13.608239,0.995143,1.941128,2.086566,0.789472,0.262623
0.050000,1.082031,13.636123,1.097537,2.047874,2.134922,0.967121,0.288904
0.050000,1.185008,13.668259,1.205411,2.157489,2.192293,1.147417,0.315969
0.050000,1.292407,13.705032,1.318932,2.270409,2.258413,1.322391,0.343652
0.050000,1.403409,13.746522,1.437434,2.370049,1.992791,-5.312425,0.371565
0.050000,1.516415,13.792374,1.559388,2.439078,1.380582,-12.244184,0.399145
0.050000,1.629846,13.842028,1.683211,2.476462,0.747681,-12.658033,0.425879
0.050000,1.742926,13.895099,1.808126,2.498285,0.436459,-6.224433,0.451500
0.050000,1.855668,13.951498,1.934188,2.521244,0.459179,0.454401,0.475948
0.050000,1.968086,14.011126,2.061441,2.545063,0.476382,0.344064,0.499179
0.050000,2.080193,14.073878,2.189915,2.569489,0.488523,0.242811,0.521164
0.050000,2.192004,14.139637,2.319630,2.594297,0.496152,0.152596,0.541882
0.050000,2.303536,14.208283,2.450595,2.619290,0.499877,0.074501,0.561324
0.050000,2.414811,14.279689,2.582810,2.644307,0.500321,0.008869,0.579488
0.050000,2.525853,14.353725,2.716271,2.669211,0.498094,-0.044540,0.596381
0.050000,2.636693,14.430259,2.850966,2.693900,0.493774,-0.086390,0.612013
0.050000,2.747364,14.509155,2.986880,2.718295,0.487893,-0.117629,0.626399
0.050000,2.857909,14.590278,3.123997,2.742341,0.480925,-0.139357,0.639557
0.050000,2.968371,14.673495,3.262298,2.766005,0.473288,-0.152740,0.651507
0.050000,3.078803,14.758671,3.401761,2.789272,0.465342,-0.158929,0.662269
0.050000,3.189261,14.845673,3.542368,2.812142,0.457391,-0.159019,0.671862
0.050000,3.299806,14.934372,3.684100,2.834626,0.449690,-0.154013,0.680308
0.050000,3.410507,15.024638,3.826937,2.856749,0.442450,-0.144808,0.687624
0.050000,3.521434,15.116344,3.970864,2.878541,0.435840,-0.132194,0.693827
0.050000,3.632667,15.209365,4.115866,2.900041,0.429997,-0.116851,0.698932
0.050000,3.744286,15.303578,4.261931,2.921292,0.425029,-0.099365,0.702952
0.050000,3.856378,15.398860,4.409048,2.942343,0.421018,-0.080234,0.705896
0.050000,3.969035,15.495092,4.557210,2.963244,0.418023,-0.059884,0.707773
0.050000,4.082353,15.592151,4.706413,2.984049,0.416089,-0.038685,0.708588
0.050000,4.196431,15.689918,4.856653,3.004811,0.415241,-0.016964,0.708342
0.050000,4.311374,15.788271,5.007932,3.025585,0.415490,0.004977,0.707036
0.050000,4.427292,15.887090,5.160254,3.046427,0.416832,0.026850,0.704665
0.050000,4.544295,15.986248,5.313623,3.067389,0.419250,0.048364,0.701223
0.050000,4.662501,16.085620,5.468049,3.088525,0.422711,0.069205,0.696701
0.050000,4.782030,16.185075,5.623544,3.109883,0.427162,0.089031,0.691089
0.050000,4.903005,16.284477,5.780119,3.131510,0.432535,0.107446,0.684372
0.050000,5.025553,16.383687,5.937791,3.153446,0.438734,0.123993,0.676535
0.050000,5.149802,16.482557,6.096578,3.175729,0.445641,0.138136,0.667560
0.050000,5.275883,16.580932,6.256497,3.198384,0.453103,0.149246,0.657427
0.050000,5.403928,16.678649,6.417569,3.221430,0.460933,0.156594,0.646117
0.050000,5.534067,16.775535,6.579812,3.244875,0.468900,0.159341,0.633610
0.050000,5.666431,16.871405,6.743248,3.268712,0.476727,0.156542,0.619884
0.050000,5.801147,16.966062,6.907894,3.292916,0.484085,0.147147,0.604923
0.050000,5.938336,17.059297,7.073766,3.317445,0.490586,0.130036,0.588708
0.050000,6.078113,17.150887,7.240878,3.342235,0.495788,0.104041,0.571227
0.050000,6.220582,17.240594,7.409237,3.367194,0.499189,0.068021,0.552471
0.050000,6.365836,17.328168,7.578848,3.392206,0.500236,0.020934,0.532438
0.050000,6.513948,17.413341,7.749704,3.417123,0.498334,-0.038050,0.511131
0.050000,6.664975,17.495835,7.921792,3.441766,0.492863,-0.109415,0.488565
0.050000,6.818947,17.575360,8.095088,3.465926,0.483205,-0.193150,0.464765
