dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001099,11.521000,0.001042,0.041667,0.833333,16.666667,0.000188
0.050000,0.006102,11.521003,0.006046,0.100077,1.168204,6.697406,0.001043
0.050000,0.017364,11.521026,0.017307,0.225223,2.502930,26.694519,0.002969
0.050000,0.036140,11.521112,0.036083,0.375527,3.006064,10.062686,0.006188
0.050000,0.062442,11.521334,0.062386,0.526058,3.010638,0.091479,0.010711
0.050000,0.096284,11.521795,0.096231,0.676905,3.016928,0.125795,0.016554
0.050000,0.137683,11.522629,0.137638,0.828145,3.024808,0.157602,0.023737
0.050000,0.186656,11.524001,0.186631,0.979850,3.034104,0.185920,0.032285
0.050000,0.243221,11.526109,0.243235,1.132079,3.044579,0.209504,0.042223
0.050000,0.307391,11.529185,0.307479,1.284875,3.055921,0.226850,0.053580
0.050000,0.379174,11.533495,0.379392,1.438262,3.067728,0.236135,0.066388
0.050000,0.458571,11.539343,0.459004,1.592236,3.079487,0.235180,0.080675
0.050000,0.545567,11.547068,0.546342,1.746764,3.090561,0.221471,0.096471
0.050000,0.640131,11.557046,0.641430,1.901773,3.100167,0.192135,0.113800
0.050000,0.742208,11.569689,0.744287,2.057141,3.107370,0.144054,0.132680
0.050000,0.851715,11.585444,0.854922,2.212695,3.111072,0.074034,0.153121
0.050000,0.968534,11.604789,0.973332,2.368196,3.110022,-0.020988,0.175120
0.050000,1.092504,11.628230,1.099499,2.523338,3.102845,-0.143555,0.198659
0.050000,1.223417,11.656294,1.233386,2.677742,3.088082,-0.295244,0.223700
0.050000,1.361010,11.689520,1.374934,2.830956,3.064279,-0.476063,0.250184
0.050000,1.504962,11.728449,1.524057,2.982460,3.030083,-0.683917,0.278021
0.050000,1.654892,11.773611,1.680641,3.131679,2.984382,-0.914023,0.307096
0.050000,1.810357,11.825511,1.844541,3.278002,2.926452,-1.158608,0.337261
0.050000,1.970861,11.884616,2.015581,3.420807,2.856106,-1.406926,0.368336
0.050000,2.134696,11.950847,2.192297,3.534310,2.270053,-11.721060,0.399888
0.050000,2.299070,12.023394,2.371968,3.593427,1.182349,-21.754065,0.431267
