dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001094,13.479000,0.001042,0.041667,0.833333,16.666667,6.283023
0.050000,0.005967,13.478997,0.005915,0.097460,1.115867,5.650670,6.282302
0.050000,0.016931,13.478979,0.016879,0.219282,2.436449,26.411648,6.280679
0.050000,0.035204,13.478908,0.035152,0.365462,2.923590,9.742809,6.277974
0.050000,0.060785,13.478727,0.060733,0.511625,2.923260,-0.006592,6.274188
0.050000,0.093671,13.478351,0.093621,0.657758,2.922668,-0.011837,6.269323
0.050000,0.133857,13.477674,0.133813,0.803843,2.921684,-0.019693,6.263381
0.050000,0.181337,13.476567,0.181306,0.949849,2.920137,-0.030928,6.256366
0.050000,0.236098,13.474876,0.236093,1.095741,2.917823,-0.046293,6.248284
0.050000,0.298122,13.472427,0.298166,1.241465,2.914496,-0.066533,6.239144
0.050000,0.367387,13.469021,0.367514,1.386959,2.909878,-0.092347,6.228956
0.050000,0.443857,13.464439,0.444121,1.532142,2.903660,-0.124379,6.217738
0.050000,0.527488,13.458444,0.527967,1.676917,2.895502,-0.163160,6.205510
0.050000,0.618223,13.450778,0.619025,1.821170,2.885048,-0.209078,6.192299
0.050000,0.715990,13.441168,0.717264,1.964766,2.871932,-0.262314,6.178137
0.050000,0.820701,13.429328,0.822641,2.107556,2.855792,-0.322790,6.163067
0.050000,0.932248,13.414961,0.935110,2.249370,2.836287,-0.390109,6.147138
0.050000,1.050505,13.397761,1.054611,2.390026,2.813112,-0.463509,6.130409
0.050000,1.175325,13.377422,1.181078,2.529327,2.786020,-0.541834,6.112949
0.050000,1.306540,13.353637,1.314431,2.667069,2.754844,-0.623515,6.094838
0.050000,1.443962,13.326107,1.454583,2.803045,2.719513,-0.706614,6.076167
0.050000,1.587382,13.294544,1.601436,2.937048,2.680069,-0.788881,6.057036
0.050000,1.736575,13.258676,1.754880,3.068882,2.636676,-0.867867,6.037555
0.050000,1.891301,13.218254,1.914798,3.198363,2.589622,-0.941083,6.017845
0.050000,2.050177,13.173387,2.079888,3.301802,2.068773,-10.416976,5.998173
0.050000,2.210749,13.124647,2.247695,3.356132,1.086609,-19.643282,5.978918
0.050000,2.370665,13.072788,2.415809,3.362293,0.123225,-19.267673,5.960412
0.050000,2.528778,13.018340,2.583034,3.344500,-0.355860,-9.581709,5.942815
0.050000,2.685084,12.961501,2.749354,3.326392,-0.362166,-0.126116,5.926144
0.050000,2.839592,12.902463,2.914757,3.308068,-0.366489,-0.086455,5.910408
0.050000,2.992325,12.841417,3.079238,3.289614,-0.369080,-0.051823,5.895615
0.050000,3.143313,12.778545,3.242793,3.271104,-0.370193,-0.022259,5.881768
0.050000,3.292598,12.714026,3.405423,3.252600,-0.370075,0.002352,5.868866
0.050000,3.440226,12.648033,3.567131,3.234152,-0.368963,0.022237,5.856906
0.050000,3.586254,12.580732,3.727921,3.215798,-0.367078,0.037706,5.845884
0.050000,3.730739,12.512284,3.887799,3.197567,-0.364622,0.049123,5.835793
0.050000,3.873745,12.442843,4.046773,3.179478,-0.361778,0.056878,5.826626
0.050000,4.015337,12.372558,4.204850,3.161543,-0.358709,0.061372,5.818375
0.050000,4.155584,12.301572,4.362038,3.143765,-0.355559,0.062999,5.811032
0.050000,4.294555,12.230025,4.518346,3.126142,-0.352452,0.062140,5.804590
0.050000,4.432319,12.158050,4.673779,3.108667,-0.349495,0.059151,5.799039
0.050000,4.568949,12.085778,4.828345,3.091329,-0.346777,0.054366,5.794375
0.050000,4.704512,12.013335,4.982051,3.074110,-0.344372,0.048091,5.790590
0.050000,4.839079,11.940845,5.134900,3.056993,-0.342342,0.040608,5.787679
0.050000,4.972716,11.868428,5.286898,3.039956,-0.340733,0.032174,5.785638
