dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000755,11.521000,0.001042,0.041667,0.833333,16.666667,6.283007
0.050000,0.004139,11.520998,0.004426,0.067677,0.520210,-6.262458,6.282207
0.050000,0.011752,11.520984,0.012038,0.152259,1.691631,23.428421,6.280407
0.050000,0.024438,11.520929,0.024724,0.253720,2.029222,6.751802,6.277405
0.050000,0.042193,11.520789,0.042480,0.355118,2.027955,-0.025325,6.273198
0.050000,0.065013,11.520500,0.065302,0.456434,2.026338,-0.032355,6.267781
0.050000,0.092891,11.519978,0.093185,0.557661,2.024527,-0.036205,6.261150
0.050000,0.125820,11.519123,0.126125,0.658798,2.022734,-0.035858,6.253300
0.050000,0.163790,11.517815,0.164118,0.759859,2.021223,-0.030238,6.244227
0.050000,0.206792,11.515918,0.207162,0.860874,2.020313,-0.018198,6.233930
0.050000,0.254814,11.513273,0.255256,0.961894,2.020385,0.001446,6.222408
0.050000,0.307844,11.509707,0.308406,1.062988,2.021880,0.029907,6.209665
0.050000,0.365868,11.505026,0.366618,1.164252,2.025298,0.068349,6.195710
0.050000,0.428873,11.499019,0.429909,1.265812,2.031190,0.117841,6.180558
0.050000,0.496844,11.491457,0.498300,1.367820,2.040152,0.179245,6.164232
0.050000,0.569769,11.482094,0.571823,1.470460,2.052807,0.253101,6.146764
0.050000,0.647632,11.470667,0.650520,1.573949,2.069782,0.339494,6.128198
0.050000,0.730422,11.456897,0.734447,1.678533,2.091677,0.437910,6.108589
0.050000,0.818125,11.440493,0.823671,1.784485,2.119032,0.547104,6.088008
0.050000,0.910731,11.421147,0.918276,1.892099,2.152282,0.664996,6.066539
0.050000,1.008229,11.398543,1.018360,2.001684,2.191714,0.788637,6.044283
0.050000,1.110610,11.372355,1.124038,2.113556,2.237426,0.914241,6.021356
0.050000,1.217867,11.342252,1.235439,2.228020,2.289294,1.037347,5.997892
0.050000,1.329991,11.307900,1.352708,2.345368,2.346947,1.153078,5.974037
0.050000,1.446146,11.269253,1.475123,2.448308,2.058798,-5.762986,5.950120
0.050000,1.564671,11.226670,1.601065,2.518841,1.410672,-12.962529,5.926613
0.050000,1.683911,11.180694,1.728861,2.555927,0.741725,-13.378934,5.903936
0.050000,1.803044,11.131700,1.857676,2.576294,0.407332,-6.687853,5.882299
0.050000,1.922080,11.079783,1.987541,2.597295,0.420027,0.253891,5.861734
0.050000,2.041027,11.025045,2.118479,2.618755,0.429183,0.183123,5.842265
0.050000,2.159897,10.967594,2.250504,2.640514,0.435185,0.120041,5.823907
0.050000,2.278705,10.907542,2.383626,2.662436,0.438446,0.065210,5.806668
0.050000,2.397466,10.845006,2.517846,2.684405,0.439385,0.018787,5.790552
0.050000,2.516202,10.780104,2.653163,2.706326,0.438415,-0.019396,5.775554
0.050000,2.634937,10.712958,2.789569,2.728122,0.435928,-0.049749,5.761670
0.050000,2.753700,10.643690,2.927056,2.749737,0.432285,-0.072847,5.748889
0.050000,2.872524,10.572425,3.065612,2.771128,0.427817,-0.089364,5.737201
0.050000,2.991447,10.499286,3.205225,2.792268,0.422816,-0.100021,5.726592
0.050000,3.110510,10.424397,3.345883,2.813145,0.417539,-0.105542,5.717050
0.050000,3.229761,10.347881,3.487570,2.833756,0.412207,-0.106631,5.708559
0.050000,3.349251,10.269862,3.630276,2.854106,0.407010,-0.103944,5.701109
0.050000,3.469034,10.190460,3.773986,2.874211,0.402106,-0.098086,5.694685
0.050000,3.589171,10.109796,3.918691,2.894093,0.397626,-0.089603,5.689276
0.050000,3.709725,10.027992,4.064380,2.913777,0.393677,-0.078981,5.684872
0.050000,3.830764,9.945167,4.211044,2.933294,0.390344,-0.066652,5.681465
0.050000,3.952360,9.861440,4.358678,2.952678,0.387694,-0.052999,5.679049
0.050000,4.074588,9.776930,4.507277,2.971967,0.385776,-0.038362,5.677617
0.050000,4.197527,9.691759,4.656837,2.991198,0.384624,-0.023050,5.677167
0.050000,4.321259,9.606045,4.807357,3.010411,0.384256,-0.007347,5.677699
0.050000,4.445870,9.519912,4.958839,3.029645,0.384680,0.008478,5.679213
0.050000,4.571448,9.433481,5.111286,3.048940,0.385888,0.024157,5.681713
0.050000,4.698085,9.346880,5.264703,3.068333,0.387859,0.039421,5.685203
0.050000,4.825874,9.260236,5.419096,3.087861,0.390558,0.053982,5.689690
0.050000,4.954912,9.173683,5.574474,3.107557,0.393935,0.067532,5.695184
0.050000,5.085297,9.087357,5.730847,3.127453,0.397921,0.079726,5.701693
0.050000,5.217127,9.001398,5.888225,3.147575,0.402430,0.090178,5.709231
0.050000,5.350503,8.915956,6.046623,3.167942,0.407352,0.098452,5.717808
0.050000,5.485525,8.831183,6.206051,3.188570,0.412555,0.104056,5.727440
0.050000,5.622292,8.747240,6.366524,3.209464,0.417877,0.106442,5.738138
0.050000,5.760902,8.664296,6.528055,3.230620,0.423127,0.105000,5.749918
0.050000,5.901448,8.582529,6.690656,3.252024,0.428081,0.099069,5.762790
0.050000,6.044021,8.502124,6.854339,3.273648,0.432478,0.087945,5.776768
0.050000,6.188705,8.423279,7.019111,3.295450,0.436023,0.070903,5.791859
0.050000,6.335575,8.346199,7.184980,3.317369,0.438385,0.047226,5.808069
0.050000,6.484699,8.271098,7.351946,3.339329,0.439197,0.016247,5.825402
0.050000,6.636128,8.198203,7.520008,3.361232,0.438067,-0.022597,5.843853
0.050000,6.789904,8.127747,7.689156,3.382961,0.434582,-0.069696,5.863415
0.050000,6.946048,8.059970,7.859375,3.404377,0.428323,-0.125194,5.884070
0.050000,7.104562,7.995122,8.030641,3.425321,0.418877,-0.188903,5.905796
0.050000,7.265332,7.933487,8.202820,3.443586,0.365305,-1.071442,5.928545
0.050000,7.427072,7.875739,8.374560,3.434808,-0.175573,-10.817567,5.952090
0.050000,7.587348,7.822768,8.543363,3.376056,-1.175034,-19.989226,5.976005
0.050000,7.743692,7.775205,8.706782,3.268370,-2.153722,-19.573755,5.999831
0.050000,7.894715,7.733134,8.863556,3.135478,-2.657840,-10.082356,6.023254
0.050000,8.040093,7.696240,9.013542,2.999727,-2.715008,-1.143359,6.046127
0.050000,8.179526,7.664182,9.156613,2.861410,-2.766359,-1.027020,6.068320
0.050000,8.312741,7.636597,9.292654,2.720832,-2.811544,-0.903707,6.089717
0.050000,8.439499,7.613107,9.421570,2.578309,-2.850458,-0.778268,6.110218
0.050000,8.559589,7.593330,9.543277,2.434149,-2.883213,-0.655106,6.129741
0.050000,8.672833,7.576885,9.657709,2.288643,-2.910110,-0.537946,6.148216
0.050000,8.779083,7.563395,9.764812,2.142064,-2.931593,-0.429662,6.165588
0.050000,8.878219,7.552497,9.864545,1.994653,-2.948207,-0.332264,6.181816
0.050000,8.970144,7.543845,9.956876,1.846626,-2.960553,-0.246930,6.196868
0.050000,9.054784,7.537111,10.041784,1.698163,-2.969260,-0.174133,6.210721
0.050000,9.132086,7.531990,10.119255,1.549415,-2.974947,-0.113740,6.223361
