dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000911,13.979000,0.001027,0.041085,0.821694,16.433875,0.000072
0.050000,0.004724,13.979001,0.004840,0.076255,0.703405,-2.365776,0.000374
0.050000,0.013305,13.979007,0.013420,0.171612,1.907140,24.074706,0.001052
0.050000,0.027611,13.979030,0.027727,0.286138,2.290521,7.667607,0.002175
0.050000,0.047653,13.979089,0.047769,0.400841,2.294068,0.070955,0.003736
0.050000,0.073443,13.979211,0.073559,0.515794,2.299046,0.099562,0.005720
0.050000,0.104995,13.979430,0.105112,0.631067,2.305465,0.128377,0.008112
0.050000,0.142330,13.979785,0.142449,0.746734,2.313337,0.157433,0.010891
0.050000,0.185470,13.980322,0.185593,0.862868,2.322674,0.186749,0.014034
0.050000,0.234441,13.981095,0.234570,0.979542,2.333491,0.216322,0.017513
0.050000,0.289273,13.982160,0.289411,1.096832,2.345797,0.246134,0.021296
0.050000,0.349997,13.983577,0.350152,1.214812,2.359604,0.276142,0.025349
0.050000,0.416649,13.985411,0.416830,1.333558,2.374919,0.306291,0.029632
0.050000,0.489270,13.987727,0.489487,1.453145,2.391744,0.336509,0.034102
0.050000,0.567900,13.990593,0.568169,1.573649,2.410080,0.366714,0.038713
0.050000,0.652586,13.994074,0.652927,1.695145,2.429921,0.396823,0.043414
0.050000,0.743376,13.998236,0.743812,1.817708,2.451259,0.426753,0.048149
0.050000,0.840323,14.003139,0.840883,1.941412,2.474080,0.456434,0.052862
0.050000,0.943482,14.008841,0.944199,2.066331,2.498371,0.485812,0.057490
0.050000,1.052913,14.015389,1.053826,2.192537,2.524114,0.514863,0.061967
0.050000,1.168679,14.022824,1.169831,2.320101,2.551294,0.543591,0.066224
0.050000,1.290849,14.031175,1.292286,2.449096,2.579896,0.572041,0.070188
0.050000,1.419494,14.040458,1.421266,2.579592,2.609911,0.600296,0.073782
0.050000,1.554692,14.050672,1.556849,2.711658,2.641335,0.628480,0.076926
0.050000,1.696524,14.061799,1.699117,2.845367,2.674172,0.656747,0.079536
0.050000,1.845080,14.073797,1.848156,2.980789,2.708436,0.685274,0.081524
0.050000,1.999435,14.086518,2.003035,3.097566,2.335538,-7.457962,0.082795
0.050000,2.157628,14.099694,2.161775,3.174810,1.544879,-15.813163,0.083267
0.050000,2.316771,14.112959,2.321470,3.193897,0.381750,-23.262590,0.082909
0.050000,2.473918,14.125936,2.479152,3.153635,-0.805241,-23.739820,0.081746
0.050000,2.626958,14.138338,2.632694,3.070845,-1.655790,-17.010986,0.079853
0.050000,2.774642,14.149977,2.780836,2.962839,-2.160134,-10.086880,0.077325
0.050000,2.916746,14.160775,2.923349,2.850270,-2.251367,-1.824659,0.074251
0.050000,3.053189,14.170688,3.060152,2.736051,-2.284398,-0.660604,0.070715
0.050000,3.183891,14.179695,3.191164,2.620250,-2.316012,-0.632293,0.066799
0.050000,3.308776,14.187790,3.316311,2.502939,-2.346217,-0.604098,0.062580
0.050000,3.427768,14.194984,3.435521,2.384189,-2.375010,-0.575856,0.058130
0.050000,3.540795,14.201304,3.548724,2.264069,-2.402382,-0.547440,0.053520
0.050000,3.647788,14.206787,3.655857,2.142653,-2.428320,-0.518758,0.048817
0.050000,3.748679,14.211479,3.756858,2.020013,-2.452808,-0.489761,0.044082
0.050000,3.843408,14.215436,3.851669,1.896222,-2.475830,-0.460435,0.039374
0.050000,3.931915,14.218719,3.940236,1.771353,-2.497370,-0.430804,0.034749
0.050000,4.014145,14.221394,4.022510,1.645482,-2.517415,-0.400914,0.030258
0.050000,4.090049,14.223529,4.098445,1.518684,-2.535957,-0.370835,0.025947
0.050000,4.159581,14.225192,4.167996,1.391035,-2.552990,-0.340647,0.021862
0.050000,4.222699,14.226452,4.231127,1.262609,-2.568511,-0.310434,0.018040
0.050000,4.279366,14.227375,4.287801,1.133483,-2.582525,-0.280278,0.014518
0.050000,4.329548,14.228024,4.337988,1.003731,-2.595038,-0.250251,0.011328
0.050000,4.373217,14.228457,4.381659,0.873428,-2.606058,-0.220413,0.008498
0.050000,4.410349,14.228727,4.418791,0.742648,-2.615599,-0.190806,0.006052
0.050000,4.440922,14.228881,4.449365,0.611465,-2.623671,-0.161454,0.004012
0.050000,4.464919,14.228958,4.473362,0.479950,-2.630289,-0.132361,0.002393
0.050000,4.482328,14.228989,4.490771,0.348177,-2.635465,-0.103512,0.001210
0.050000,4.493139,14.228998,4.501582,0.216217,-2.639209,-0.074874,0.000471
0.050000,4.498296,14.229000,4.506739,0.103148,-2.261368,7.556812,0.000117
0.050000,4.499849,14.229000,4.508293,0.031063,-1.441700,16.393367,0.000010
0.050000,4.500000,14.229000,4.508443,0.003014,-0.560992,17.614158,0.000000
0.050000,4.500000,14.229000,4.508443,0.000000,-0.060275,10.014345,0.000000
