dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001053,12.021000,0.001027,0.041085,0.821694,16.433875,0.000072
0.050000,0.005457,12.021001,0.005431,0.088084,0.939983,2.365776,0.000374
0.050000,0.015364,12.021008,0.015339,0.198150,2.201328,25.226918,0.001052
0.050000,0.031871,12.021035,0.031845,0.330132,2.639642,8.766261,0.002175
0.050000,0.054968,12.021103,0.054942,0.461937,2.636093,-0.070967,0.003736
0.050000,0.084642,12.021243,0.084617,0.593493,2.631114,-0.099578,0.005720
0.050000,0.120878,12.021494,0.120853,0.724727,2.624694,-0.128396,0.008112
0.050000,0.163654,12.021901,0.163632,0.855569,2.616822,-0.157454,0.010891
0.050000,0.212947,12.022515,0.212929,0.985943,2.607483,-0.186770,0.014034
0.050000,0.268729,12.023396,0.268718,1.115776,2.596666,-0.216343,0.017513
0.050000,0.330967,12.024604,0.330967,1.244994,2.584359,-0.246151,0.021296
0.050000,0.399625,12.026206,0.399643,1.373521,2.570551,-0.276156,0.025349
0.050000,0.474660,12.028270,0.474708,1.501283,2.555236,-0.306299,0.029632
0.050000,0.556029,12.030866,0.556118,1.628204,2.538410,-0.336510,0.034102
0.050000,0.643681,12.034060,0.643828,1.754208,2.520075,-0.366707,0.038713
0.050000,0.737563,12.037919,0.737789,1.879219,2.500235,-0.396807,0.043414
0.050000,0.837616,12.042505,0.837947,2.003164,2.478898,-0.426728,0.048149
0.050000,0.943779,12.047874,0.944246,2.125968,2.456078,-0.456399,0.052862
0.050000,1.055986,12.054075,1.056624,2.247558,2.431790,-0.485769,0.057490
0.050000,1.174167,12.061147,1.175017,2.367860,2.406049,-0.514812,0.061967
0.050000,1.298252,12.069116,1.299357,2.486804,2.378872,-0.543536,0.066224
0.050000,1.428164,12.077996,1.429573,2.604317,2.350273,-0.571984,0.070188
0.050000,1.563828,12.087785,1.565589,2.720330,2.320261,-0.600243,0.073782
0.050000,1.705164,12.098463,1.707328,2.834772,2.288839,-0.628435,0.076926
0.050000,1.852091,12.109989,1.854706,2.947572,2.256003,-0.656718,0.079536
0.050000,2.004528,12.122300,2.007639,3.058659,2.221740,-0.685271,0.081524
0.050000,2.161362,12.135225,2.165005,3.147307,1.772943,-8.975943,0.082795
0.050000,2.320476,12.148478,2.324671,3.193317,0.920209,-17.054674,0.083267
0.050000,2.478920,12.161684,2.483663,3.179852,-0.269304,-23.790266,0.082909
0.050000,2.633798,12.174474,2.639068,3.108104,-1.434956,-23.313039,0.081746
0.050000,2.783144,12.186577,2.788904,2.996714,-2.227799,-15.856859,0.079853
0.050000,2.925893,12.197827,2.932096,2.863834,-2.657596,-8.595937,0.077325
0.050000,3.061995,12.208170,3.068590,2.729894,-2.678808,-0.424245,0.074251
0.050000,3.191534,12.217582,3.198471,2.597605,-2.645777,0.660629,0.070715
0.050000,3.314587,12.226062,3.321816,2.466897,-2.614160,0.632337,0.066799
0.050000,3.431227,12.233622,3.438701,2.337699,-2.583952,0.604151,0.062580
0.050000,3.541523,12.240292,3.549198,2.209942,-2.555157,0.575913,0.058130
0.050000,3.645538,12.246108,3.653375,2.083553,-2.527782,0.547496,0.053520
0.050000,3.743333,12.251119,3.751298,1.958460,-2.501841,0.518809,0.048817
0.050000,3.834963,12.255381,3.843028,1.834593,-2.477351,0.489805,0.044082
0.050000,3.920482,12.258953,3.928622,1.711877,-2.454328,0.460471,0.039374
0.050000,3.999940,12.261901,4.008134,1.590237,-2.432786,0.430830,0.034749
0.050000,4.073381,12.264290,4.081614,1.469600,-2.412740,0.400931,0.030258
0.050000,4.140849,12.266188,4.149108,1.349890,-2.394197,0.370843,0.025947
0.050000,4.202383,12.267660,4.210660,1.231032,-2.377165,0.340647,0.021862
0.050000,4.258019,12.268771,4.266307,1.112950,-2.361644,0.310427,0.018040
0.050000,4.307791,12.269581,4.316086,0.995568,-2.347631,0.280264,0.014518
0.050000,4.351728,12.270149,4.360026,0.878812,-2.335119,0.250233,0.011328
0.050000,4.389856,12.270528,4.398157,0.762608,-2.324099,0.220393,0.008498
0.050000,4.422199,12.270763,4.430501,0.646880,-2.314560,0.190785,0.006052
0.050000,4.448777,12.270897,4.457078,0.531555,-2.306488,0.161433,0.004012
0.050000,4.469605,12.270964,4.477906,0.416562,-2.299871,0.132342,0.002393
0.050000,4.484696,12.270991,4.492998,0.301827,-2.294696,0.103495,0.001210
0.050000,4.494060,12.270999,4.502362,0.187279,-2.290953,0.074862,0.000471
0.050000,4.498525,12.271000,4.506827,0.089302,-1.959546,6.628151,0.000117
0.050000,4.499870,12.271000,4.508171,0.026888,-1.248272,14.225477,0.000010
0.050000,4.500000,12.271000,4.508302,0.002609,-0.485592,15.253593,0.000000
0.050000,4.500000,12.271000,4.508302,0.000000,-0.052171,8.668435,0.000000
