dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.500690,15.979000,0.001029,0.041170,0.823396,16.467923,0.000235
0.050000,0.503776,15.979002,0.004115,0.061714,0.410880,-8.250321,0.001289
0.050000,0.510714,15.979020,0.011053,0.138755,1.540822,22.598832,0.003664
0.050000,0.522261,15.979085,0.022600,0.230948,1.843853,6.060634,0.007639
0.050000,0.538394,15.979253,0.038734,0.322677,1.834588,-0.185309,0.013237
0.050000,0.559079,15.979602,0.059422,0.413764,1.821733,-0.257104,0.020491
0.050000,0.584273,15.980231,0.084624,0.504035,1.805430,-0.326049,0.029442
0.050000,0.613922,15.981262,0.114290,0.593330,1.785905,-0.390513,0.040140
0.050000,0.647960,15.982842,0.148366,0.681505,1.763492,-0.448251,0.052643
0.050000,0.686314,15.985138,0.186788,0.768439,1.738684,-0.496161,0.067014
0.050000,0.728896,15.988344,0.229490,0.854048,1.712180,-0.530089,0.083321
0.050000,0.775610,15.992675,0.276405,0.938295,1.684946,-0.544670,0.101633
0.050000,0.826352,15.998371,0.327465,1.021210,1.658289,-0.533135,0.122017
0.050000,0.881008,16.005696,0.382611,1.102906,1.633924,-0.487314,0.144537
0.050000,0.939462,16.014940,0.441791,1.183608,1.614035,-0.397776,0.169243
0.050000,1.001595,16.026417,0.504975,1.263674,1.601317,-0.254358,0.196167
0.050000,1.067290,16.040468,0.572156,1.343622,1.598961,-0.047127,0.225315
0.050000,1.136441,16.057460,0.643363,1.424150,1.610564,0.232060,0.256658
0.050000,1.208951,16.077792,0.718671,1.506146,1.639930,0.587324,0.290121
0.050000,1.284746,16.101891,0.798205,1.590683,1.690735,1.016107,0.325573
0.050000,1.363771,16.130222,0.882154,1.678986,1.766058,1.506446,0.362823
0.050000,1.445993,16.163279,0.970773,1.772376,1.867808,2.035018,0.401611
0.050000,1.531401,16.201595,1.064382,1.872184,1.996158,2.566989,0.441608
0.050000,1.619999,16.245730,1.163364,1.979639,2.149087,3.058584,0.482424
0.050000,1.711798,16.296262,1.268151,2.095750,2.322228,3.462820,0.523618
0.050000,1.806803,16.353780,1.379212,2.221206,2.509108,3.737605,0.564712
0.050000,1.905012,16.418860,1.497027,2.356297,2.701827,3.854373,0.605214
0.050000,2.006401,16.492047,1.622072,2.500900,2.892058,3.804622,0.644639
0.050000,2.110934,16.573833,1.754797,2.654508,3.072167,3.602185,0.682526
0.050000,2.218559,16.664641,1.895613,2.816318,3.236188,3.280417,0.718458
0.050000,2.329227,16.764807,2.044880,2.985340,3.380456,2.885354,0.752067
0.050000,2.442903,16.874580,2.202906,3.160531,3.503815,2.467176,0.783036
0.050000,2.559590,16.994113,2.369952,3.340903,3.607440,2.072499,0.811102
0.050000,2.679343,17.123475,2.546233,3.525623,3.694404,1.739283,0.836043
0.050000,2.802290,17.262651,2.731937,3.714081,3.769148,1.494877,0.857668
0.050000,2.928653,17.411557,2.927233,3.905930,3.836985,1.356741,0.875803
0.050000,3.058765,17.570046,3.132289,4.101116,3.903726,1.334822,0.890279
0.050000,3.193086,17.737916,3.347284,4.299889,3.975454,1.434563,0.900911
0.050000,3.331606,17.914117,3.571414,4.482611,3.654435,-6.420389,0.907469
0.050000,3.473816,18.096666,3.802818,4.628068,2.909156,-14.905574,0.909752
0.050000,3.618660,18.282633,4.038537,4.714396,1.726549,-23.652145,0.907675
0.050000,3.765029,18.468929,4.275455,4.738361,0.479305,-24.944864,0.901319
0.050000,3.912304,18.653166,4.511322,4.717332,-0.420577,-17.997640,0.890878
0.050000,4.060355,18.833745,4.744834,4.670231,-0.942034,-10.429152,0.876583
0.050000,4.209629,19.009937,4.975759,4.618517,-1.034275,-1.844821,0.858620
0.050000,4.360528,19.181087,5.203932,4.563457,-1.101204,-1.338578,0.837160
