dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.501151,14.021000,0.001029,0.041170,0.823396,16.467923,0.000235
0.050000,0.506300,14.021004,0.006178,0.102965,1.235912,8.250318,0.001289
0.050000,0.517888,14.021033,0.017766,0.231773,2.576157,26.804905,0.003664
0.050000,0.537218,14.021142,0.037096,0.386599,3.096517,10.407197,0.007639
0.050000,0.564311,14.021425,0.064191,0.541888,3.105774,0.185144,0.013237
0.050000,0.599197,14.022013,0.099081,0.697819,3.118618,0.256875,0.020491
0.050000,0.641912,14.023079,0.141810,0.854564,3.134904,0.325725,0.029442
0.050000,0.692495,14.024839,0.192424,1.012284,3.154410,0.390109,0.040140
0.050000,0.750989,14.027554,0.250980,1.171124,3.176797,0.447739,0.052643
0.050000,0.817430,14.031533,0.317540,1.331203,3.201573,0.495517,0.067014
0.050000,0.891849,14.037137,0.392170,1.492605,3.228039,0.529320,0.083321
0.050000,0.974264,14.044778,0.474939,1.655366,3.255226,0.543745,0.101633
0.050000,1.064669,14.054928,0.565912,1.819458,3.281829,0.532055,0.122017
0.050000,1.163027,14.068113,0.665150,1.984764,3.306132,0.486063,0.144537
0.050000,1.269260,14.084915,0.772703,2.151062,3.325950,0.396375,0.169243
0.050000,1.383231,14.105970,0.888603,2.317991,3.338592,0.252836,0.196167
0.050000,1.504734,14.131959,1.012854,2.485035,3.340869,0.045529,0.225315
0.050000,1.633479,14.163597,1.145429,2.651494,3.329187,-0.233631,0.256658
0.050000,1.769073,14.201618,1.286253,2.816482,3.299750,-0.588750,0.290121
0.050000,1.911017,14.246750,1.435199,2.978926,3.248889,-1.017221,0.325573
0.050000,2.058695,14.299690,1.592079,3.137603,3.173536,-1.507056,0.362823
0.050000,2.211378,14.361072,1.756639,3.291192,3.071789,-2.034936,0.401611
0.050000,2.368238,14.431435,1.928557,3.438367,2.943487,-2.566037,0.441608
0.050000,2.528370,14.511190,2.107452,3.577899,2.790653,-3.056673,0.482424
0.050000,2.690830,14.600603,2.292892,3.708782,2.617656,-3.459950,0.523618
0.050000,2.854670,14.699773,2.484408,3.830330,2.430961,-3.733909,0.564712
0.050000,3.018992,14.808639,2.681521,3.942253,2.238456,-3.850096,0.605214
0.050000,3.182983,14.926985,2.883754,4.044675,2.048451,-3.800096,0.644639
0.050000,3.345953,15.054461,3.090660,4.138104,1.868562,-3.597770,0.682526
0.050000,3.507363,15.190617,3.301827,4.223341,1.704740,-3.276442,0.718458
0.050000,3.666833,15.334922,3.516895,4.301372,1.560637,-2.882074,0.752067
0.050000,3.824144,15.486798,3.735557,4.373242,1.437400,-2.464743,0.783036
0.050000,3.979231,15.645639,3.957554,4.439935,1.333851,-2.070970,0.811102
0.050000,4.132171,15.810823,4.182668,4.502281,1.246919,-1.738641,0.836043
0.050000,4.283162,15.981721,4.410713,4.560889,1.172166,-1.495066,0.857668
0.050000,4.432511,16.157692,4.641518,4.616103,1.104281,-1.357698,0.875803
0.050000,4.580615,16.338081,4.874917,4.667976,1.037455,-1.336515,0.890279
0.050000,4.727949,16.522202,5.110729,4.716256,0.965604,-1.437016,0.900911
0.050000,4.874408,16.708494,5.347700,4.739409,0.463065,-10.050792,0.907469
0.050000,5.019366,16.894568,5.583574,4.717475,-0.438678,-18.034849,0.909752
0.050000,5.161711,17.077329,5.815228,4.633078,-1.687954,-24.985528,0.907675
0.050000,5.300388,17.253841,6.039700,4.489448,-2.872596,-23.692834,0.901319
0.050000,5.434892,17.422114,6.255123,4.308461,-3.619738,-14.942846,0.890878
0.050000,5.565190,17.581053,6.460645,4.110440,-3.960430,-6.813839,0.876583
0.050000,5.691720,17.730418,6.656400,3.915095,-3.906901,1.070592,0.858620
0.050000,5.814822,17.870059,6.842554,3.723092,-3.840058,1.336850,0.837160
0.050000,5.934720,17.999888,7.019278,3.534471,-3.772407,1.353030,0.812375
0.050000,6.051548,18.119889,7.186756,3.349565,-3.698119,1.485747,0.784456
0.050000,6.165364,18.230125,7.345205,3.168973,-3.611853,1.725334,0.753622
0.050000,6.276172,18.330745,7.494881,2.993517,-3.509114,2.054764,0.720136
0.050000,6.383940,18.421992,7.636090,2.824179,-3.386755,2.447192,0.684310
0.050000,6.488618,18.504201,7.769190,2.662004,-3.243497,2.865158,0.646509
0.050000,6.590155,18.577789,7.894589,2.507986,-3.080378,3.262381,0.607150
0.050000,6.688512,18.643245,8.012736,2.362938,-2.900942,3.588707,0.566692
0.050000,6.783667,18.701113,8.124105,2.227386,-2.711057,3.797715,0.525618
0.050000,6.875614,18.751968,8.229179,2.101471,-2.518293,3.855272,0.484421
0.050000,6.964360,18.796396,8.328425,1.984923,-2.330968,3.746508,0.443579
0.050000,7.049916,18.834979,8.422278,1.877071,-2.157025,3.478860,0.403536
0.050000,7.132286,18.868277,8.511124,1.776920,-2.003023,3.080044,0.364685
0.050000,7.211460,18.896824,8.595287,1.683248,-1.873439,2.591679,0.327357
0.050000,7.287405,18.921117,8.675023,1.594728,-1.770404,2.060702,0.291816
0.050000,7.360070,18.941621,8.750525,1.510036,-1.693845,1.531176,0.258256
0.050000,7.429378,18.958765,8.821922,1.427940,-1.641922,1.038455,0.226811
0.050000,7.495235,18.972950,8.889290,1.347360,-1.611601,0.606414,0.197558
0.050000,7.557535,18.984545,8.952660,1.267398,-1.599225,0.247533,0.170528
0.050000,7.616163,18.993890,9.012027,1.187349,-1.600986,-0.035227,0.145718
0.050000,7.670998,19.001303,9.067362,1.106685,-1.613273,-0.245751,0.123096
0.050000,7.721925,19.007073,9.118614,1.025042,-1.632874,-0.392007,0.102611
0.050000,7.768829,19.011465,9.165723,0.942188,-1.657069,-0.483909,0.084203
0.050000,7.811605,19.014721,9.208624,0.858006,-1.683650,-0.531617,0.067803
0.050000,7.850158,19.017058,9.247247,0.772462,-1.710881,-0.544611,0.053342
0.050000,7.884399,19.018670,9.281526,0.685590,-1.737437,-0.531135,0.040752
0.050000,7.914254,19.019725,9.311400,0.597473,-1.762338,-0.498008,0.029969
0.050000,7.939657,19.020372,9.336811,0.508229,-1.784872,-0.450683,0.020936
0.050000,7.960554,19.020733,9.357711,0.418002,-1.804539,-0.393344,0.013603
0.050000,7.976901,19.020909,9.374059,0.326953,-1.820997,-0.329152,0.007928
0.050000,7.988663,19.020978,9.385822,0.235252,-1.834016,-0.260389,0.003878
0.050000,7.995817,19.020997,9.392976,0.143079,-1.843452,-0.188708,0.001428
0.050000,7.999084,19.021000,9.396242,0.065326,-1.555065,5.767731,0.000312
0.050000,7.999964,19.021000,9.397122,0.017602,-0.954479,12.011731,0.000012
0.050000,8.000000,19.021000,9.397158,0.000723,-0.337576,12.338058,0.000000
0.050000,8.000000,19.021000,9.397158,0.000000,-0.014465,6.462204,0.000000
