dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.501105,15.979000,0.001019,0.040766,0.815321,16.306419,6.282972
0.050000,0.506132,15.978996,0.006047,0.100548,1.195645,7.606483,6.282001
0.050000,0.517450,15.978971,0.017364,0.226349,2.516022,26.407536,6.279810
0.050000,0.536330,15.978872,0.036244,0.377606,3.025123,10.182024,6.276140
0.050000,0.562799,15.978617,0.062714,0.529398,3.035852,0.214569,6.270963
0.050000,0.596892,15.978086,0.096811,0.681944,3.050927,0.301502,6.264242
0.050000,0.638654,15.977122,0.138585,0.835464,3.070387,0.389200,6.255926
0.050000,0.688137,15.975526,0.188093,0.990176,3.094250,0.477272,6.245954
0.050000,0.745399,15.973058,0.245408,1.146301,3.122492,0.564844,6.234255
0.050000,0.810500,15.969430,0.310611,1.304051,3.155009,0.650333,6.220745
0.050000,0.883502,15.964303,0.383793,1.463630,3.191564,0.731099,6.205331
0.050000,0.964459,15.957279,0.465053,1.625216,3.231727,0.803250,6.187910
0.050000,1.053414,15.947903,0.554501,1.788955,3.274780,0.861070,6.168372
0.050000,1.150390,15.935653,0.652248,1.954936,3.319618,0.896748,6.146602
0.050000,1.255378,15.919935,0.758406,2.123166,3.364608,0.899803,6.122486
0.050000,1.368324,15.900089,0.873083,2.293539,3.407453,0.856914,6.095914
0.050000,1.489112,15.875379,0.996373,2.465791,3.445045,0.751840,6.066789
0.050000,1.617543,15.845006,1.128346,2.639459,3.473355,0.566187,6.035040
0.050000,1.753312,15.808116,1.269037,2.813829,3.487400,0.280909,6.000630
0.050000,1.895988,15.763818,1.418432,2.987898,3.481375,-0.120505,5.963574
0.050000,2.044992,15.711212,1.576449,3.160348,3.448998,-0.647540,5.923955
0.050000,2.199580,15.649427,1.742927,3.329556,3.384169,-1.296582,5.881938
0.050000,2.358843,15.577668,1.917610,3.493653,3.281932,-2.044729,5.837785
0.050000,2.521715,15.495263,2.100142,3.650636,3.139662,-2.845406,5.791858
0.050000,2.687006,15.401716,2.290069,3.798547,2.958222,-3.628800,5.744621
0.050000,2.853455,15.296745,2.486853,3.935684,2.742747,-4.309500,5.696625
0.050000,3.019788,15.180302,2.689894,4.060817,2.502662,-4.801701,5.648484
0.050000,3.184801,15.052580,2.898562,4.173353,2.250722,-5.038800,5.600841
0.050000,3.347424,14.913984,3.112232,4.273412,2.001176,-4.990928,5.554335
0.050000,3.506778,14.765090,3.330322,4.361787,1.767497,-4.673571,5.509562
0.050000,3.662211,14.606597,3.552312,4.439803,1.560317,-4.143596,5.467052
0.050000,3.813310,14.439267,3.777767,4.509107,1.386094,-3.484468,5.427250
0.050000,3.959892,14.263885,4.006339,4.571445,1.246757,-2.786745,5.390513
0.050000,4.101983,14.081220,4.237762,4.628456,1.140214,-2.130857,5.357113
0.050000,4.239786,13.892006,4.471838,4.681525,1.061377,-1.576738,5.327250
0.050000,4.373653,13.696936,4.708423,4.731691,1.003317,-1.161190,5.301074
0.050000,4.504051,13.496667,4.947403,4.779604,0.958262,-0.901097,5.278698
0.050000,4.631544,13.291826,5.188679,4.825518,0.918281,-0.799624,5.260224
0.050000,4.756771,13.083036,5.432144,4.869300,0.875636,-0.852912,5.245763
0.050000,4.880436,12.870933,5.677666,4.910442,0.822846,-1.055788,5.235447
0.050000,5.002788,12.657092,5.924035,4.927380,0.338751,-9.681903,5.229472
0.050000,5.123486,12.444307,6.168668,4.892663,-0.694332,-20.661664,5.228013
0.050000,5.241782,12.236154,6.408088,4.788392,-2.085418,-27.821723,5.231121
0.050000,5.357115,12.035708,6.639346,4.625163,-3.264588,-23.583401,5.238683
0.050000,5.469495,11.844704,6.860958,4.432241,-3.858425,-11.876737,5.250513
0.050000,5.579259,11.663928,7.072448,4.229797,-4.048885,-3.809191,5.266435
0.050000,5.686898,11.493601,7.273936,4.029759,-4.000758,0.962537,5.286326
0.050000,5.792756,11.333914,7.465524,3.831756,-3.960063,0.813890,5.310082
0.050000,5.897049,11.185016,7.647313,3.635794,-3.919238,0.816504,5.337599
0.050000,5.999882,11.047000,7.819427,3.442272,-3.870452,0.975727,5.368753
0.050000,6.101265,10.919878,7.982026,3.251983,-3.805768,1.293667,5.403378
0.050000,6.201133,10.803565,8.135331,3.066102,-3.717618,1.763016,5.441249
