dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.500688,15.979000,0.001023,0.040939,0.818781,16.375615,0.000225
0.050000,0.503786,15.979002,0.004122,0.061970,0.420617,-7.963284,0.001242
0.050000,0.510752,15.979019,0.011088,0.139321,1.547029,22.528255,0.003535
0.050000,0.522345,15.979082,0.022681,0.231861,1.850797,6.075346,0.007375
0.050000,0.538539,15.979245,0.038876,0.323890,1.840573,-0.204479,0.012787
0.050000,0.559296,15.979584,0.059636,0.415204,1.826283,-0.285792,0.019808
0.050000,0.584569,15.980194,0.084916,0.505603,1.807976,-0.366132,0.028485
0.050000,0.614297,15.981195,0.114660,0.594890,1.785750,-0.444530,0.038874
0.050000,0.648406,15.982729,0.148804,0.682879,1.759781,-0.519384,0.051042
0.050000,0.686811,15.984959,0.187274,0.769398,1.730368,-0.588258,0.065063
0.050000,0.729412,15.988075,0.229989,0.854297,1.697985,-0.647651,0.081021
0.050000,0.776096,15.992287,0.276862,0.937465,1.663352,-0.692675,0.099004
0.050000,0.826736,15.997829,0.327804,1.018840,1.627513,-0.716771,0.119103
0.050000,0.881192,16.004960,0.382726,1.098437,1.591940,-0.711454,0.141409
0.050000,0.939318,16.013961,0.441545,1.176369,1.558633,-0.666146,0.166008
0.050000,1.000956,16.025141,0.504189,1.252880,1.530216,-0.568344,0.192970
0.050000,1.065949,16.038831,0.570608,1.328380,1.510007,-0.404168,0.222349
0.050000,1.134142,16.055388,0.640782,1.403481,1.502024,-0.159668,0.254164
0.050000,1.205390,16.075201,0.714733,1.479025,1.510873,0.176973,0.288393
0.050000,1.279565,16.098687,0.792538,1.556099,1.541483,0.612204,0.324958
0.050000,1.356566,16.126299,0.874339,1.636031,1.598634,1.143030,0.363711
0.050000,1.436316,16.158531,0.960357,1.720345,1.686277,1.752846,0.404431
0.050000,1.518770,16.195917,1.050891,1.810679,1.806698,2.408434,0.446809
0.050000,1.603910,16.239030,1.146324,1.908664,1.959696,3.059945,0.490454
0.050000,1.691732,16.288481,1.247112,2.015763,2.141967,3.645421,0.534901
0.050000,1.782239,16.344907,1.353768,2.133112,2.346980,4.100259,0.579626
0.050000,1.875424,16.408948,1.466837,2.261386,2.565486,4.370118,0.624073
0.050000,1.971259,16.481228,1.586873,2.400719,2.786665,4.423592,0.667676
0.050000,2.069690,16.562323,1.714408,2.550703,2.999682,4.260330,0.709891
0.050000,2.170639,16.652744,1.849931,2.710466,3.195255,3.911467,0.750220
0.050000,2.274014,16.752907,1.993872,2.878809,3.366868,3.432253,0.788224
0.050000,2.379723,16.863127,2.146591,3.054377,3.511355,2.889747,0.823535
0.050000,2.487699,16.983616,2.308382,3.235820,3.628853,2.349964,0.855853
0.050000,2.597921,17.114479,2.479478,3.421933,3.722262,1.868178,0.884939
0.050000,2.710434,17.255733,2.660066,3.611756,3.796472,1.484194,0.910603
0.050000,2.825371,17.407317,2.850298,3.804636,3.857585,1.222267,0.932691
0.050000,2.942969,17.569106,3.050310,4.000250,3.912296,1.094208,0.951062
0.050000,3.063592,17.740924,3.260242,4.198625,3.967489,1.103863,0.965575
0.050000,3.187743,17.922553,3.480248,4.400128,4.030069,1.251598,0.976070
0.050000,3.315529,18.112906,3.709516,4.585351,3.704448,-6.512416,0.982333
0.050000,3.446540,18.309780,3.945996,4.729615,2.885283,-16.383288,0.984175
