dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.501129,14.021000,0.001023,0.040939,0.818781,16.375615,0.000225
0.050000,0.506218,14.021004,0.006113,0.101786,1.216945,7.963283,0.001242
0.050000,0.517675,14.021031,0.017569,0.229130,2.546873,26.598557,0.003535
0.050000,0.536785,14.021135,0.036680,0.382224,3.061882,10.300178,0.007375
0.050000,0.563576,14.021405,0.063472,0.535829,3.072099,0.204340,0.012787
0.050000,0.598078,14.021968,0.097979,0.690148,3.086377,0.285562,0.019808
0.050000,0.640335,14.022988,0.140248,0.845381,3.104669,0.365837,0.028485
0.050000,0.690393,14.024674,0.190335,1.001725,3.126876,0.444143,0.038874
0.050000,0.748303,14.027279,0.248303,1.159366,3.152820,0.518882,0.051042
0.050000,0.814116,14.031102,0.314227,1.318476,3.182202,0.587639,0.065063
0.050000,0.887879,14.036498,0.388187,1.479203,3.214546,0.646884,0.081021
0.050000,0.969629,14.043875,0.470270,1.641660,3.249133,0.691740,0.099004
0.050000,1.059389,14.053700,0.560565,1.805906,3.284916,0.715654,0.119103
0.050000,1.157150,14.066504,0.659162,1.971927,3.320422,0.710123,0.141409
0.050000,1.262870,14.082879,0.766142,2.139610,3.353652,0.664613,0.166008
0.050000,1.376452,14.103484,0.881577,2.308709,3.381983,0.566607,0.192970
0.050000,1.497730,14.129032,1.005518,2.478813,3.402096,0.402267,0.222349
0.050000,1.626455,14.160291,1.137984,2.649312,3.409980,0.157677,0.254164
0.050000,1.762269,14.198062,1.278952,2.819364,3.401033,-0.178935,0.288393
0.050000,1.904693,14.243160,1.428346,2.987881,3.370335,-0.613956,0.324958
0.050000,2.053115,14.296386,1.586023,3.153537,3.313118,-1.144353,0.363711
0.050000,2.206780,14.358490,1.751763,3.314809,3.225444,-1.753469,0.404431
0.050000,2.364801,14.430132,1.925266,3.470061,3.105040,-2.408088,0.446809
0.050000,2.526179,14.511840,2.106150,3.617667,2.952119,-3.058425,0.490454
0.050000,2.689833,14.603976,2.293958,3.756166,2.769988,-3.642618,0.534901
0.050000,2.854658,14.706713,2.488179,3.884425,2.565176,-4.096242,0.579626
0.050000,3.019572,14.820021,2.688268,4.001771,2.346919,-4.365125,0.624073
0.050000,3.183579,14.943683,2.893671,4.108072,2.126018,-4.418026,0.667676
0.050000,3.345819,15.077312,3.103858,4.203736,1.913284,-4.254678,0.709891
0.050000,3.505603,15.220390,3.318340,4.289635,1.717974,-3.906215,0.750220
0.050000,3.662436,15.372310,3.536688,4.366964,1.546584,-3.427794,0.788224
0.050000,3.816019,15.532407,3.758542,4.437077,1.402267,-2.886339,0.823535
0.050000,3.966244,15.700000,3.983608,4.501322,1.284881,-2.347709,0.855853
0.050000,4.113171,15.874405,4.211653,4.560898,1.191529,-1.867056,0.884939
0.050000,4.257008,16.054952,4.442491,4.616764,1.117324,-1.484096,0.910603
0.050000,4.398087,16.240986,4.675970,4.669573,1.056171,-1.223065,0.932691
0.050000,4.536845,16.431862,4.911952,4.719642,1.001381,-1.095783,0.951062
0.050000,4.673804,16.626931,5.150299,4.766945,0.946074,-1.106146,0.965575
0.050000,4.809558,16.825521,5.390855,4.811113,0.883344,-1.254610,0.976070
0.050000,4.944183,17.026053,5.632385,4.830612,0.389993,-9.867008,0.982333
0.050000,5.077194,17.225929,5.872474,4.801767,-0.576910,-19.338065,0.984175
0.050000,5.207643,17.421788,6.107799,4.706494,-1.905461,-26.571028,0.981531
0.050000,5.334717,17.610595,6.335386,4.551754,-3.094799,-23.786757,0.974498
0.050000,5.458186,17.790479,6.553566,4.363598,-3.763121,-13.366434,0.963273
0.050000,5.578228,17.960509,6.761701,4.162707,-4.017813,-5.093838,0.948062
0.050000,5.695320,18.120477,6.959944,3.964854,-3.957051,1.215238,0.929019
0.050000,5.809801,18.270214,7.148431,3.769732,-3.902441,1.092195,0.906285
0.050000,5.921889,18.409607,7.327300,3.577378,-3.847081,1.107197,0.880000
0.050000,6.031700,18.538606,7.496708,3.388173,-3.784104,1.259549,0.850326
0.050000,6.139266,18.657244,7.656850,3.202829,-3.706888,1.544317,0.817459
0.050000,6.244555,18.765645,7.807967,3.022354,-3.609499,1.947782,0.781649
0.050000,6.347493,18.864038,7.950367,2.847987,-3.487345,2.443076,0.743206
0.050000,6.447990,18.952757,8.084421,2.681088,-3.337969,2.987531,0.702513
0.050000,6.545952,19.032237,8.210571,2.522998,-3.161794,3.523491,0.660018
0.050000,6.641307,19.103000,8.329315,2.374869,-2.962596,3.983960,0.616231
0.050000,6.734005,19.165635,8.441189,2.237496,-2.747444,4.303043,0.571700
0.050000,6.824022,19.220769,8.546749,2.111197,-2.525993,4.429014,0.526990
0.050000,6.911354,19.269045,8.646536,1.995737,-2.309192,4.336032,0.482656
0.050000,6.996004,19.311093,8.741054,1.890353,-2.107679,4.030251,0.439212
0.050000,7.077966,19.347520,8.830746,1.793839,-1.930283,3.547916,0.397110
0.050000,7.157217,19.378892,8.915980,1.704690,-1.782976,2.946151,0.356726
0.050000,7.233706,19.405736,8.997044,1.621266,-1.668479,2.289925,0.318354
0.050000,7.307354,19.428537,9.074141,1.541941,-1.586501,1.639566,0.282202
0.050000,7.378053,19.447743,9.147402,1.465221,-1.534395,1.042115,0.248404
0.050000,7.445672,19.463764,9.216893,1.389821,-1.508010,0.527712,0.217026
0.050000,7.510064,19.476984,9.282628,1.314696,-1.502497,0.110263,0.188084
0.050000,7.571073,19.487756,9.344580,1.239048,-1.512958,-0.209222,0.161551
0.050000,7.628541,19.496406,9.402695,1.162304,-1.534879,-0.438428,0.137370
0.050000,7.682313,19.503237,9.456899,1.084086,-1.564366,-0.589741,0.115466
0.050000,7.732242,19.508528,9.507108,1.004175,-1.598227,-0.677223,0.095754
0.050000,7.778192,19.512531,9.553232,0.922477,-1.633956,-0.714573,0.078142
0.050000,7.820038,19.515478,9.595182,0.838994,-1.669654,-0.713966,0.062538
0.050000,7.857669,19.517575,9.632872,0.753797,-1.703935,-0.685615,0.048855
0.050000,7.890989,19.519006,9.666222,0.667007,-1.735817,-0.637631,0.037012
0.050000,7.919913,19.519931,9.695161,0.578775,-1.764630,-0.576260,0.026936
0.050000,7.944370,19.520487,9.719625,0.489278,-1.789936,-0.506121,0.018561
0.050000,7.964303,19.520790,9.739560,0.398705,-1.811461,-0.430500,0.011833
0.050000,7.979665,19.520932,9.754922,0.307253,-1.829044,-0.351672,0.006707
0.050000,7.990421,19.520985,9.765679,0.215123,-1.842600,-0.271106,0.003148
0.050000,7.996688,19.520998,9.771945,0.125323,-1.795993,0.932127,0.001087
0.050000,7.999365,19.521000,9.774623,0.053557,-1.435331,7.213244,0.000208
0.050000,8.000000,19.521000,9.775257,0.012691,-0.817312,12.360380,6.283185
0.050000,8.000000,19.521000,9.775257,0.000000,-0.253825,11.269749,6.283185
