dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.501034,15.979000,0.001024,0.040972,0.819434,16.388688,6.283017
0.050000,0.505908,15.978997,0.005898,0.097475,1.130066,6.212628,6.282224
0.050000,0.516879,15.978977,0.016869,0.219428,2.439068,26.180054,6.280434
0.050000,0.535181,15.978899,0.035172,0.366053,2.932489,9.868412,6.277432
0.050000,0.560840,15.978697,0.060832,0.513191,2.942761,0.205434,6.273194
0.050000,0.593890,15.978276,0.093885,0.661058,2.957351,0.291803,6.267681
0.050000,0.634377,15.977510,0.134379,0.809882,2.976468,0.382351,6.260845
0.050000,0.682356,15.976241,0.182374,0.959901,3.000381,0.478243,6.252625
0.050000,0.737889,15.974275,0.237942,1.111371,3.029404,0.580457,6.242946
0.050000,0.801051,15.971378,0.301171,1.264566,3.063898,0.689899,6.231720
0.050000,0.871921,15.967272,0.372160,1.419779,3.104252,0.807064,6.218845
0.050000,0.950585,15.961627,0.451026,1.577321,3.150853,0.932020,6.204201
0.050000,1.037131,15.954060,0.537902,1.737523,3.204045,1.063839,6.187653
0.050000,1.131646,15.944119,0.632938,1.900727,3.264066,1.200434,6.169046
0.050000,1.234210,15.931283,0.736302,2.067274,3.330946,1.337599,6.148211
0.050000,1.344885,15.914947,0.848176,2.237492,3.404357,1.468218,6.124959
0.050000,1.463708,15.894417,0.968760,2.411663,3.483413,1.581122,6.099089
0.050000,1.590667,15.868896,1.098259,2.589982,3.566384,1.659418,6.070387
0.050000,1.725686,15.837484,1.236884,2.772499,3.650335,1.679016,6.038641
0.050000,1.868591,15.799170,1.384835,2.959033,3.730696,1.607224,6.003643
0.050000,2.019074,15.752841,1.542289,3.149074,3.800816,1.402400,5.965215
0.050000,2.176655,15.697299,1.709372,3.341655,3.851610,1.015869,5.923226
0.050000,2.340632,15.631297,1.886133,3.535231,3.871518,0.398161,5.877626
0.050000,2.510040,15.553592,2.072512,3.727584,3.847068,-0.488998,5.828475
0.050000,2.683624,15.463025,2.268303,3.915803,3.764379,-1.653781,5.775985
0.050000,2.859835,15.358618,2.473122,4.096393,3.611794,-3.051694,5.720546
0.050000,3.036871,15.239682,2.686400,4.265564,3.383428,-4.567317,5.662741
0.050000,3.212766,15.105908,2.907385,4.419701,3.082736,-6.013839,5.603339
0.050000,3.385516,14.957421,3.135182,4.555931,2.724615,-7.162429,5.543255
0.050000,3.553244,14.794781,3.368815,4.672658,2.334539,-7.801521,5.483486
0.050000,3.714344,14.618923,3.607308,4.769870,1.944230,-7.806179,5.425031
0.050000,3.867597,14.431044,3.849764,4.849121,1.585018,-7.184227,5.368808
0.050000,4.012223,14.232470,4.095424,4.913188,1.281338,-6.073617,5.315593
0.050000,4.147877,14.024530,4.343700,4.965523,1.046706,-4.692627,5.265987
0.050000,4.274598,13.808465,4.594184,5.009683,0.883191,-3.270312,5.220407
0.050000,4.392731,13.585368,4.846627,5.048867,0.783696,-1.989889,5.179107
0.050000,4.502849,13.356166,5.100910,5.085645,0.735553,-0.962863,5.142210
0.050000,4.605681,13.121626,5.357002,5.121842,0.723945,-0.232169,5.109745
0.050000,4.702056,12.882380,5.614930,5.158561,0.734366,0.208437,5.081685
0.050000,4.792868,12.638955,5.874743,5.196258,0.753942,0.391513,5.057980
0.050000,4.879050,12.391808,6.136485,5.234848,0.771807,0.357299,5.038584
0.050000,4.961566,12.141361,6.400175,5.273792,0.778886,0.141579,5.023477
