dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.500705,14.021000,0.001024,0.040972,0.819434,16.388688,6.283017
0.050000,0.504025,14.020998,0.004345,0.066412,0.508803,-6.212637,6.282224
0.050000,0.511491,14.020984,0.011811,0.149317,1.658103,22.986016,6.280434
0.050000,0.523917,14.020931,0.024237,0.248523,1.984113,6.520192,6.277432
0.050000,0.541277,14.020795,0.041598,0.347215,1.973837,-0.205509,6.273194
0.050000,0.563534,14.020511,0.063856,0.445177,1.959241,-0.291938,6.267681
0.050000,0.590639,14.019999,0.090966,0.542182,1.940113,-0.382558,6.260845
0.050000,0.622527,14.019155,0.122865,0.637992,1.916188,-0.478484,6.252625
0.050000,0.659122,14.017860,0.159483,0.732349,1.887149,-0.580796,6.242946
0.050000,0.700327,14.015971,0.200732,0.824981,1.852633,-0.690322,6.231720
0.050000,0.746030,14.013323,0.246511,0.915593,1.812251,-0.807633,6.218845
0.050000,0.796095,14.009732,0.296705,1.003874,1.765616,-0.932707,6.204201
0.050000,0.850363,14.004987,0.351180,1.089493,1.712378,-1.064761,6.187653
0.050000,0.908647,13.998859,0.409785,1.172108,1.652298,-1.201582,6.169046
0.050000,0.970732,13.991091,0.472354,1.251375,1.585347,-1.339038,6.148211
0.050000,1.036369,13.981406,0.538702,1.326967,1.511843,-1.470062,6.124959
0.050000,1.105279,13.969503,0.608632,1.398601,1.432674,-1.583396,6.099089
0.050000,1.177146,13.955061,0.681936,1.466079,1.349563,-1.662213,6.070387
0.050000,1.251626,13.937739,0.758404,1.529351,1.265443,-1.682405,6.038641
0.050000,1.328348,13.917176,0.837833,1.588595,1.184881,-1.611234,6.003643
0.050000,1.406927,13.892992,0.920050,1.644322,1.114533,-1.406961,5.965215
0.050000,1.486977,13.864785,1.004924,1.697497,1.063491,-1.020839,5.923226
0.050000,1.568136,13.832127,1.092408,1.749663,1.043333,-0.403153,5.877626
0.050000,1.650082,13.794548,1.182560,1.803041,1.067561,0.484556,5.828475
0.050000,1.732561,13.751521,1.275587,1.860546,1.150098,1.650730,5.775985
0.050000,1.815398,13.702443,1.371871,1.925679,1.302649,3.051021,5.720546
0.050000,1.898497,13.646614,1.471983,2.002236,1.531147,4.569973,5.662741
0.050000,1.981823,13.583232,1.576675,2.093844,1.832168,6.020414,5.603339
0.050000,2.065361,13.511408,1.686844,2.203385,2.190809,7.172825,5.543255
0.050000,2.149071,13.430207,1.803467,2.332462,2.581549,7.814800,5.483486
0.050000,2.232849,13.338715,1.927522,2.481092,2.972585,7.820704,5.425031
0.050000,2.316503,13.236109,2.059908,2.647716,3.332489,7.198090,5.368808
0.050000,2.399767,13.121727,2.201385,2.829553,3.636748,6.085171,5.315593
0.050000,2.482327,12.995109,2.352542,3.023143,3.871792,4.700880,5.265987
0.050000,2.563873,12.856003,2.513788,3.224920,4.035543,3.275021,5.220407
0.050000,2.644139,12.704351,2.685372,3.431676,4.135113,1.991409,5.179107
0.050000,2.722948,12.540252,2.867414,3.640836,4.183208,0.961892,5.142210
0.050000,2.800233,12.363916,3.059943,3.850570,4.194681,0.229470,5.109745
0.050000,2.876061,12.175623,3.262931,4.059774,4.184072,-0.212192,5.081685
0.050000,2.950634,11.975677,3.476331,4.267988,4.164280,-0.395829,5.057980
0.050000,3.024298,11.764385,3.700095,4.475297,4.146186,-0.361880,5.038584
0.050000,3.097548,11.542028,3.934208,4.682241,4.138871,-0.146310,5.023477
0.050000,3.171035,11.308846,4.178695,4.889749,4.150167,0.225928,5.012691
0.050000,3.245288,11.065996,4.432642,5.078944,3.783896,-7.325429,5.006334
0.050000,3.320659,10.815850,4.693897,5.225090,2.922930,-17.219323,5.004530
0.050000,3.397327,10.561861,4.959206,5.306177,1.621734,-26.023913,5.007322
0.050000,3.475547,10.307392,5.225425,5.324388,0.364222,-25.150229,5.014637
0.050000,3.555872,10.054665,5.490610,5.303694,-0.413881,-15.562065,5.026355
0.050000,3.639086,9.804908,5.753864,5.265094,-0.771996,-7.162310,5.042381
0.050000,3.726175,9.558540,6.015172,5.226147,-0.778942,-0.138907,5.062697
0.050000,3.818095,9.315988,6.274557,5.187703,-0.768881,0.201213,5.087329
0.050000,3.915772,9.077722,6.532067,5.150210,-0.749858,0.380453,5.116326
0.050000,4.020088,8.844288,6.787750,5.113646,-0.731291,0.371345,5.149737
0.050000,4.131855,8.616343,7.041621,5.077422,-0.724467,0.136477,5.187578
0.050000,4.251773,8.394688,7.293635,5.040289,-0.742665,-0.363962,5.229804
0.050000,4.380371,8.180285,7.543648,5.000259,-0.800597,-1.158629,5.276267
0.050000,4.517938,7.974260,7.791379,4.954616,-0.912856,-2.245182,5.326680
0.050000,4.664433,7.777880,8.036382,4.900055,-1.091222,-3.567320,5.380588
0.050000,4.819424,7.592481,8.278032,4.833000,-1.341106,-4.997681,5.437352
