dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.500994,15.979000,0.001042,0.041667,0.833333,16.666667,6.283047
0.050000,0.505820,15.978998,0.005867,0.096507,1.096800,5.269329,6.282374
0.050000,0.516681,15.978981,0.016729,0.217235,2.414562,26.355241,6.280855
0.050000,0.534799,15.978915,0.034846,0.362351,2.902329,9.755347,6.278309
0.050000,0.560194,15.978746,0.060242,0.507913,2.911238,0.178177,6.274713
0.050000,0.592897,15.978392,0.092947,0.654110,2.923937,0.253981,6.270034
0.050000,0.632949,15.977750,0.133005,0.801143,2.940652,0.334304,6.264230
0.050000,0.680399,15.976685,0.180466,0.949227,2.961688,0.420724,6.257247
0.050000,0.735304,15.975035,0.235396,1.098598,2.987422,0.514675,6.249019
0.050000,0.797732,15.972604,0.297872,1.249514,3.018311,0.617768,6.239468
0.050000,0.867760,15.969157,0.367984,1.402259,3.054897,0.731736,6.228499
0.050000,0.945474,15.964418,0.445842,1.557149,3.097803,0.858103,6.216004
0.050000,1.030964,15.958061,0.531569,1.714535,3.147726,0.998464,6.201854
0.050000,1.124331,15.949705,0.625309,1.874806,3.205423,1.153949,6.185903
0.050000,1.225677,15.938902,0.727228,2.038390,3.271670,1.324939,6.167981
0.050000,1.335101,15.925131,0.837516,2.205750,3.347202,1.510636,6.147895
0.050000,1.452698,15.907785,0.956385,2.377379,3.432596,1.707879,6.125426
0.050000,1.578541,15.886154,1.084074,2.553785,3.528101,1.910095,6.100332
0.050000,1.712675,15.859417,1.220847,2.735452,3.633352,2.105029,6.072342
0.050000,1.855088,15.826624,1.366987,2.922801,3.746970,2.272363,6.041166
0.050000,2.005687,15.786685,1.522792,3.116099,3.865971,2.380010,6.006501
0.050000,2.164256,15.738366,1.688559,3.315350,3.985007,2.380724,5.968040
0.050000,2.330405,15.680289,1.864565,3.520122,4.095453,2.208926,5.925503
0.050000,2.503504,15.610959,2.051033,3.729348,4.184509,1.781112,5.878659
0.050000,2.682617,15.528808,2.248087,3.941082,4.234689,1.003605,5.827382
0.050000,2.866432,15.432288,2.455702,4.152298,4.224326,-0.207270,5.771696
0.050000,3.053213,15.319992,2.673641,4.358795,4.129928,-1.887944,5.711841
0.050000,3.240805,15.190812,2.901409,4.555348,3.931055,-3.977470,5.648327
0.050000,3.426709,15.044119,3.138220,4.736219,3.617433,-6.272441,5.581954
0.050000,3.608248,14.879888,3.383022,4.896035,3.196321,-8.422228,5.513798
0.050000,3.782800,14.698766,3.634564,5.030857,2.696427,-9.997890,5.445139
0.050000,3.948063,14.502007,3.891519,5.139096,2.164792,-10.632701,5.377336
0.050000,4.102269,14.291315,4.152614,5.221904,1.656162,-10.172594,5.311691
0.050000,4.244309,14.068614,4.416757,5.282847,1.218862,-8.746004,5.249321
0.050000,4.373732,13.835821,4.683108,5.327026,0.883567,-6.705893,5.191084
0.050000,4.490664,13.594676,4.951108,5.359995,0.659394,-4.483473,5.137553
0.050000,4.595666,13.346643,5.220451,5.386856,0.537220,-2.443463,5.089040
0.050000,4.689595,13.092884,5.491036,5.411699,0.496856,-0.807290,5.045647
0.050000,4.773480,12.834279,5.762906,5.437412,0.514253,0.347939,5.007330
0.050000,4.848435,12.571472,6.036193,5.465741,0.566583,1.046601,4.973955
0.050000,4.915602,12.304930,6.311067,5.497479,0.634762,1.363572,4.945346
0.050000,4.976123,12.034998,6.587701,5.532680,0.704022,1.385209,4.921326
0.050000,5.031125,11.761940,6.866244,5.570849,0.763368,1.186915,4.901742
0.050000,5.081727,11.485987,7.146797,5.611076,0.804554,0.823718,4.886491
0.050000,5.128879,11.208432,7.428329,5.630637,0.391221,-8.266648,4.875561
0.050000,5.173420,10.931585,7.708737,5.608150,-0.449751,-16.819454,4.868973
0.050000,5.216243,10.657696,7.985953,5.544326,-1.276467,-16.534318,4.866709
0.050000,5.258384,10.387960,8.258961,5.460151,-1.683506,-8.140779,4.868744
0.050000,5.300826,10.123555,8.526751,5.355801,-2.086997,-8.069821,4.875100
0.050000,5.344303,9.866683,8.787276,5.210504,-2.905942,-16.378888,4.885796
0.050000,5.389399,9.619571,9.038469,5.023864,-3.732808,-16.537324,4.900814
0.050000,5.436679,9.383501,9.279227,4.815155,-4.174180,-8.827449,4.920161
0.050000,5.486728,9.158839,9.509396,4.603390,-4.235303,-1.222441,4.943938
