dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.500723,14.021000,0.001042,0.041667,0.833333,16.666667,6.283047
0.050000,0.504231,14.020998,0.004550,0.070160,0.569867,-5.269328,6.282374
0.050000,0.512119,14.020986,0.012438,0.157765,1.752104,23.644739,6.280855
0.050000,0.525252,14.020939,0.025570,0.262649,2.097669,6.911296,6.278309
0.050000,0.543606,14.020816,0.043925,0.367086,2.088755,-0.178269,6.274713
0.050000,0.567149,14.020562,0.067469,0.470889,2.076053,-0.254048,6.270034
0.050000,0.595838,14.020101,0.096162,0.573855,2.059329,-0.334475,6.264230
0.050000,0.629618,14.019344,0.129950,0.675770,2.038284,-0.420898,6.257247
0.050000,0.668420,14.018178,0.168770,0.776397,2.012539,-0.514911,6.249019
0.050000,0.712161,14.016475,0.212544,0.875478,1.981633,-0.618117,6.239468
0.050000,0.760739,14.014084,0.261181,0.972730,1.945027,-0.732122,6.228499
0.050000,0.814031,14.010835,0.314572,1.067834,1.902094,-0.858655,6.216004
0.050000,0.871894,14.006533,0.372594,1.160441,1.852136,-0.999166,6.201854
0.050000,0.934153,14.000962,0.435102,1.250161,1.794394,-1.154826,6.185903
0.050000,1.000605,13.993881,0.501931,1.336565,1.728089,-1.326112,6.167981
0.050000,1.071009,13.985023,0.572890,1.419189,1.652483,-1.512112,6.147895
0.050000,1.145085,13.974099,0.647767,1.497539,1.566992,-1.709817,6.125426
0.050000,1.222506,13.960796,0.726322,1.571107,1.471365,-1.912544,6.100332
0.050000,1.302896,13.944777,0.808293,1.639405,1.365956,-2.108183,6.072342
0.050000,1.385828,13.925688,0.893393,1.702012,1.252141,-2.276304,6.041166
0.050000,1.470825,13.903155,0.981326,1.758657,1.132893,-2.384953,6.006501
0.050000,1.557366,13.876795,1.071793,1.809335,1.013557,-2.386719,5.968040
0.050000,1.644900,13.846210,1.164517,1.854473,0.902759,-2.215955,5.925503
0.050000,1.732868,13.810991,1.259273,1.895138,0.813309,-1.788998,5.878659
0.050000,1.820737,13.770705,1.355937,1.933274,0.762723,-1.011738,5.827382
0.050000,1.908037,13.724880,1.454533,1.971910,0.772718,0.199904,5.771696
0.050000,1.994399,13.672971,1.555295,2.015253,0.866865,1.882942,5.711841
0.050000,2.079587,13.614318,1.658722,2.068538,1.065703,3.976758,5.648327
0.050000,2.163488,13.548112,1.765598,2.137518,1.379597,6.277879,5.581954
0.050000,2.246077,13.473384,1.876977,2.227585,1.801335,8.434775,5.513798
0.050000,2.327345,13.389027,1.994112,2.342694,2.302182,10.016926,5.445139
0.050000,2.407216,13.293886,2.118334,2.484443,2.834970,10.655771,5.377336
0.050000,2.485490,13.186874,2.250918,2.651681,3.344773,10.196046,5.311691
0.050000,2.561834,13.067093,2.392960,2.840835,3.783083,8.766216,5.249321
0.050000,2.635818,12.933925,2.545300,3.046791,4.119105,6.720423,5.191084
0.050000,2.706982,12.787060,2.708498,3.263975,4.343683,4.491564,5.137553
0.050000,2.774918,12.626475,2.882862,3.487273,4.465971,2.445764,5.089040
0.050000,2.839321,12.452376,3.068491,3.712585,4.506233,0.805235,5.045647
0.050000,2.900028,12.265120,3.265342,3.937015,4.488595,-0.352760,5.007330
0.050000,2.957034,12.065146,3.473283,4.158812,4.435952,-1.052854,4.973955
0.050000,3.010492,11.852916,3.692142,4.377184,4.367437,-1.370304,4.945346
0.050000,3.060705,11.628870,3.921746,4.592076,4.297845,-1.391846,4.921326
0.050000,3.108122,11.393397,4.161945,4.803986,4.238184,-1.193212,4.901742
0.050000,3.153327,11.146816,4.412636,5.013821,4.196702,-0.829646,4.886491
0.050000,3.196887,10.890357,4.672768,5.202642,3.776426,-8.405512,4.875561
